@relation jAudio
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC

@DATA
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
