@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
4.5945945,3.4987214,244
4.642202,3.1492622,245
4.387931,3.624085,246
4.811321,3.8635042,247
4.847619,3.536964,248
5.009804,3.7794468,249
4.5855856,2.722838,250
4.486726,2.8319137,251
4.754717,3.2760172,252
4.728972,2.8037696,253
4.4347825,2.3186593,254
4.3305087,2.633085,255
5.1938777,3.7078464,256
4.3305087,2.7495918,257
3.0787878,1.6403543,258
3.5985916,2.3378692,259
3.3267975,1.969805,260
3.5172415,2.1338115,261
3.3774834,1.9385996,262
3.7226276,2.3201118,263
4.857143,3.240895,264
4.6168222,3.1935825,265
4.857143,4.1643124,266
5.141414,4.259298,267
5.806818,5.2394004,268
5.625,5.574521,269
5.0495048,4.774885,270
5.1530614,4.8389406,271
4.5585585,3.4840298,272
4.387931,2.091739,273
4.350427,2.173328,274
4.426087,2.021884,275
4.072,1.7212832,276
4.2941175,2.3811336,277
5.3157897,3.866899,278
5.11,4.7072177,279
5.1734695,4.292912,280
4.764151,3.7329533,281
4.688073,3.5881999,282
5.0,4.423644,283
4.3675213,3.1503582,284
4.1544714,2.752774,285
4.3589745,2.7189162,286
4.2689075,2.1720047,287
4.3534484,2.206004,288
4.426087,2.4283144,289
4.0555553,2.0482495,290
4.3421054,2.591582,291
4.5044246,3.1710076,292
5.1616163,4.148036,293
6.035714,4.321724,294
5.9411764,4.1765532,295
4.866667,3.0708046,296
4.072,2.7486026,297
4.4347825,2.6014392,298
4.522124,3.6412032,299
4.8207545,3.3724666,300
5.151515,3.761484,301
5.151515,4.075955,302
5.214286,4.1533117,303
5.5,4.9961095,304
4.6055045,3.287503,305
4.2231407,2.010253,306
4.2941175,1.9156715,307
4.324786,2.7419784,308
4.2231407,2.2726822,309
4.5855856,2.9969008,310
4.766355,3.5456421,311
5.837209,4.5002856,312
5.1313133,4.061762,313
5.268041,3.4056213,314
6.271605,4.317671,315
6.8,4.955805,316
5.368421,3.9418206,317
4.990196,3.2734675,318
5.2604165,4.5694747,319
7.78125,8.519222,320
5.9418607,5.201419,321
7.5147057,8.059507,322
9.75,11.86766,323
6.3875,6.219915,324
5.425532,4.4566216,325
5.7272725,4.8890586,326
5.5666666,4.4398446,327
6.035714,4.614796,328
8.754386,9.843122,329
8.982142,8.806433,330
9.826923,8.416379,331
4.688073,2.2409747,332
5.009901,4.135083,333
4.9417477,3.8334887,334
5.1313133,5.415366,335
7.8153844,12.049759,336
19.192308,25.738358,337
32.714287,25.166386,338
6.9315066,9.384232,339
4.180328,3.7329204,340
5.1,5.559676,341
8.482142,13.207129,342
20.772728,22.538717,343
43.0,23.076946,344
10.019608,15.31306,345
3.9230769,1.8589301,346
3.8195488,1.8264333,347
4.654206,4.910608,348
9.632653,14.55278,349
14.903226,15.897565,350
45.18182,23.770945,351
38.846153,21.026892,352
5.862069,7.2511153,353
4.015748,2.4686515,354
5.5274725,6.4079976,355
9.877551,14.77537,356
28.0,25.071663,357
45.454544,19.928799,358
9.388889,13.258703,359
3.9921875,1.8092475,360
3.652174,1.7555386,361
4.443478,3.6598678,362
6.9852943,10.098766,363
11.923077,14.124691,364
18.851852,22.620384,365
15.454545,20.969084,366
7.197183,8.44138,367
8.466666,12.579701,368
7.6615386,11.79997,369
7.904762,12.97582,370
4.9134617,6.1489687,371
4.990196,5.921869,372
5.1010103,8.240691,373
5.042105,6.7697716,374
5.918605,9.133653,375
5.883721,9.112244,376
4.3675213,8.492931,377
4.611111,7.6893787,378
4.2231407,5.8740044,379
3.8059702,7.9517927,380
6.3,9.225508,381
8.661017,11.429385,382
6.219512,9.344393,383
5.719101,7.937946,384
6.8378377,9.29549,385
5.6043954,8.68481,386
4.4454546,5.0354857,387
4.642202,6.918295,388
5.9418607,9.756757,389
4.733333,7.0444393,390
5.625,7.154643,391
5.2395835,6.7542343,392
6.4736843,10.789217,393
5.6153846,7.6915383,394
6.1566267,8.100992,395
7.830769,12.764818,396
4.4954953,4.6844077,397
6.551282,8.414955,398
5.9506173,6.4595633,399
6.071429,7.0656543,400
5.305263,6.217249,401
7.2608695,10.09757,402
10.466666,19.627192,403
8.637931,13.596017,404
6.443038,9.966713,405
5.9880953,9.87601,406
6.875,10.200678,407
6.9054055,8.856466,408
7.742424,10.008043,409
7.723077,9.130689,410
6.3974357,8.091369,411
5.3125,6.171697,412
4.754717,7.1372147,413
4.932039,5.4421263,414
7.530303,11.391411,415
6.071429,9.162274,416
5.214286,6.427381,417
4.3070173,5.8521657,418
6.13253,8.176916,419
6.972603,9.382252,420
5.0515466,8.019784,421
6.468354,8.809999,422
6.1375,11.403666,423
8.810345,15.61438,424
6.6710525,8.605977,425
6.0833335,5.10184,426
6.0119047,6.583699,427
5.741573,7.0750837,428
5.9880953,6.8059745,429
8.75862,13.556154,430
7.1014495,9.880657,431
7.3382354,10.780716,432
6.8783784,9.876197,433
6.381579,8.958922,434
6.375,7.7288017,435
6.5866666,7.483481,436
4.37069,7.0521827,437
4.2166667,6.138924,438
5.080808,6.990147,439
3.6690648,5.3137374,440
