@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2724.1104,404
3176.2078,405
2942.2295,406
2601.178,407
2804.3318,408
2483.178,409
2525.184,410
2863.4995,411
3064.7256,412
2939.2095,413
2804.3357,414
2578.6865,415
2943.1501,416
3024.4604,417
2838.1362,418
2433.1372,419
2706.4548,420
2864.9417,421
2729.3618,422
2484.5203,423
2390.4238,424
2569.0735,425
2601.259,426
2598.2346,427
2462.235,428
2727.1052,429
2269.8577,430
2318.226,431
2244.8232,432
2597.6157,433
2434.404,434
2510.3064,435
2543.6086,436
3210.5022,437
3727.0566,438
3373.7832,439
3626.419,440
3692.2366,441
3522.017,442
2802.5164,443
2749.828,444
2661.8308,445
2623.244,446
2408.6401,447
2588.1655,448
2739.3193,449
2645.7078,450
2067.6987,451
2232.503,452
2706.2917,453
2761.8994,454
2915.2502,455
2853.7373,456
2386.3132,457
2444.4622,458
2462.6333,459
2505.7673,460
2744.2039,461
2969.8054,462
3289.5403,463
2764.0237,464
2773.2253,465
3026.5764,466
2683.7126,467
3060.9124,468
3038.8967,469
2830.711,470
2829.2073,471
2995.5413,472
2841.8108,473
2804.5627,474
2627.4631,475
2655.4534,476
2305.6436,477
2156.0845,478
2586.726,479
2888.3174,480
2950.0503,481
2773.4775,482
3190.5847,483
3076.902,484
3025.5293,485
3152.2007,486
3481.2546,487
4544.47,488
4263.9385,489
3743.8696,490
2788.5454,491
2795.9058,492
2587.4973,493
2864.4578,494
3145.133,495
2871.2505,496
2987.4187,497
2978.6475,498
2830.9868,499
3202.1924,500
3023.0737,501
2899.9065,502
2873.679,503
2619.4978,504
2567.2239,505
2240.0222,506
2711.6694,507
2461.7512,508
2740.0554,509
2658.348,510
2760.053,511
2592.1855,512
2357.598,513
2805.1423,514
3558.4124,515
2429.7788,516
2654.854,517
3326.3538,518
2416.3738,519
2758.4707,520
2797.135,521
2724.8032,522
2953.8625,523
2925.0767,524
2882.7498,525
2864.1003,526
3290.5693,527
3082.3645,528
3006.011,529
2883.4788,530
2686.1594,531
2652.5798,532
2447.2063,533
2343.2134,534
2608.4185,535
2668.0464,536
2525.656,537
2878.0151,538
2589.453,539
2293.9543,540
2019.0819,541
2310.4626,542
2309.5645,543
2502.801,544
2237.553,545
2205.8374,546
2587.251,547
2910.2852,548
2801.8533,549
2713.0576,550
2993.6455,551
2815.1396,552
2835.9534,553
2954.9375,554
2731.3223,555
2722.707,556
2437.5598,557
2486.5193,558
2353.3054,559
2610.5244,560
2252.7822,561
2707.8447,562
2534.4116,563
2585.0266,564
2710.0984,565
2681.28,566
2649.9727,567
2342.962,568
2380.4766,569
2360.8823,570
2564.1836,571
2549.4365,572
2616.4866,573
2559.804,574
2732.9727,575
2950.4011,576
3068.7007,577
2760.8179,578
2944.5063,579
3091.5344,580
2988.138,581
3370.0696,582
3070.873,583
2639.662,584
2954.2036,585
3150.7178,586
2420.753,587
2268.1794,588
2664.008,589
2921.536,590
2746.877,591
2904.7363,592
2793.199,593
3298.4165,594
3007.378,595
3221.765,596
3547.1404,597
3850.658,598
4151.092,599
3895.813,600
2635.7273,601
2886.5205,602
2805.221,603
2913.9229,604
2845.2715,605
2945.952,606
3018.158,607
2949.9617,608
3021.526,609
2982.4124,610
3223.968,611
2616.9253,612
2769.866,613
3017.7556,614
2450.463,615
2090.5354,616
2158.652,617
2531.1584,618
2330.5564,619
2691.6262,620
2769.2402,621
2218.2341,622
2248.238,623
2347.6418,624
2880.6685,625
3101.494,626
2772.216,627
2286.0774,628
2562.3982,629
2859.457,630
3084.158,631
3048.6804,632
3289.1875,633
2977.147,634
3096.371,635
3272.728,636
3180.8916,637
2811.4614,638
2699.394,639
2814.0728,640
3001.8552,641
2794.7043,642
2141.3538,643
2209.996,644
2111.1086,645
2365.403,646
2515.814,647
2467.04,648
2704.7307,649
2349.1587,650
2268.4312,651
2249.305,652
2512.8843,653
2351.964,654
2525.3362,655
2783.1743,656
3451.472,657
3965.3428,658
3738.0933,659
3609.3364,660
3804.2534,661
3367.7312,662
2885.0793,663
2498.46,664
2647.5537,665
2519.2925,666
2177.3606,667
2375.179,668
2636.3704,669
2620.871,670
2387.2239,671
2259.2915,672
2318.23,673
2425.9941,674
2363.6162,675
2342.7322,676
2484.7004,677
2219.764,678
2351.6018,679
2180.0254,680
2635.9758,681
2932.1345,682
3032.1716,683
2918.799,684
3205.2922,685
2988.1519,686
3412.6853,687
3004.6052,688
3049.407,689
3118.787,690
3244.2263,691
2873.9004,692
2874.785,693
2893.4668,694
2694.6917,695
2717.4514,696
2757.369,697
2356.6128,698
2886.912,699
2999.9907,700
3082.1187,701
2779.4204,702
3003.8562,703
2964.7036,704
2824.8247,705
2890.6106,706
3274.6309,707
4160.141,708
4439.02,709
3103.0342,710
2354.1243,711
2943.0537,712
2875.1501,713
3165.4675,714
3100.4182,715
2759.7852,716
3091.1975,717
3004.1836,718
2903.5383,719
2750.7815,720
3067.8174,721
2763.0464,722
2667.7595,723
2696.9294,724
2988.3225,725
2990.128,726
2818.3286,727
2648.9402,728
2812.2192,729
2679.0466,730
2804.3032,731
2445.5732,732
2852.7227,733
3021.7834,734
3092.7231,735
2445.6343,736
3038.0674,737
2553.5042,738
2992.2427,739
2784.6394,740
2973.9167,741
2908.228,742
3071.788,743
2858.1396,744
2787.6282,745
2374.0945,746
2429.159,747
2442.5251,748
2709.4463,749
2829.4473,750
2798.7754,751
2360.7493,752
2507.8306,753
2736.4585,754
2544.4695,755
2757.0105,756
2582.309,757
2260.8826,758
2338.616,759
2064.0857,760
2166.2627,761
2346.8997,762
2516.8777,763
2449.3396,764
2528.7344,765
2213.8892,766
1873.8223,767
2122.4912,768
2077.7004,769
2529.069,770
2469.6296,771
2822.5723,772
2154.6301,773
2426.9402,774
2599.5852,775
2991.9072,776
3128.0479,777
3093.9924,778
2528.9863,779
2121.034,780
1882.129,781
1989.6586,782
2086.6755,783
2270.0337,784
2260.5652,785
2498.8845,786
2507.6272,787
2730.1492,788
2808.0354,789
3124.7188,790
3004.6707,791
2944.8733,792
3208.8328,793
2972.3137,794
2854.2812,795
2549.1738,796
2423.8125,797
2805.8784,798
2935.5046,799
3194.0913,800
2893.4854,801
3012.9055,802
2726.769,803
2726.553,804
2924.7483,805
3338.8574,806
3110.7776,807
2689.434,808
2895.8855,809
3790.0369,810
3272.4475,811
3704.3853,812
3288.098,813
3056.4558,814
3096.4783,815
3070.319,816
2754.615,817
3137.7002,818
2823.4048,819
2631.6123,820
2730.2947,821
2652.9026,822
2993.9893,823
3013.3838,824
2899.6707,825
3053.8557,826
3129.1455,827
2775.5679,828
2866.1182,829
3414.2773,830
3110.6794,831
3027.8418,832
3002.6978,833
2880.5864,834
2922.9985,835
2433.979,836
2811.9814,837
2981.942,838
2922.6726,839
2810.2605,840
3114.7837,841
2395.4084,842
2547.706,843
2445.8376,844
2333.1826,845
2790.642,846
