@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.33239973,0.20202997,0.3208252,0.40578702,120
0.34062046,0.22025049,0.34551147,0.35493416,121
0.37325615,0.2373846,0.3074943,0.36194083,122
0.42023653,0.22120579,0.3110553,0.3622691,123
0.3437754,0.22732073,0.2866107,0.35335043,124
0.40251994,0.19299765,0.30121568,0.38243964,125
0.43244296,0.28293,0.3416998,0.41017553,126
0.39780465,0.29902914,0.24951649,0.3471887,127
0.34498978,0.27709675,0.3643071,0.34553885,128
0.417079,0.20629899,0.31188136,0.37866414,129
0.3678934,0.27705532,0.295135,0.28619984,130
0.44168326,0.22656353,0.30785692,0.35454324,131
0.42066357,0.24475056,0.25682467,0.39100945,132
0.39982346,0.20533952,0.30952963,0.3301446,133
0.3747752,0.254845,0.26191756,0.36350828,134
0.38349545,0.2622835,0.27649093,0.3624228,135
0.36559743,0.25398517,0.29504037,0.3583975,136
0.35413095,0.24195676,0.22735037,0.32344386,137
0.39636815,0.31594098,0.2509915,0.34774014,138
0.37696615,0.29005772,0.23119941,0.32029578,139
0.43678334,0.20623523,0.25617,0.35013267,140
0.39009708,0.3317978,0.28485796,0.3694946,141
0.44464266,0.33689976,0.34558424,0.43991256,142
0.52373064,0.45942008,0.30913624,0.41165096,143
0.48210528,0.24461149,0.42813852,0.47302008,144
0.5630617,0.32475093,0.28942716,0.45443714,145
0.5746701,0.29449967,0.5255543,0.4839735,146
0.7295078,0.73378265,0.63901997,0.67231625,147
0.481388,0.5588122,0.5788466,0.75913256,148
0.3751794,0.31270579,0.3286834,0.5216444,149
0.37667143,0.30284825,0.32035103,0.4141867,150
0.33562467,0.26192665,0.25609216,0.37567437,151
0.45902815,0.28842205,0.29311058,0.3975252,152
0.5461816,0.40431932,0.45268866,0.58153373,153
0.6889784,0.6262991,0.54290617,0.6702672,154
0.62173355,0.5037297,0.59619415,0.5297394,155
0.4357451,0.45581877,0.5544746,0.6237368,156
0.46691084,0.47708225,0.543118,0.4992465,157
0.5714415,0.49219957,0.44293642,0.4251814,158
0.567486,0.3510176,0.4514382,0.47664222,159
0.5302699,0.6741319,0.6131281,0.653711,160
0.53372085,0.688357,0.56865877,0.67119384,161
0.6995534,0.5104262,0.48620048,0.6739048,162
0.4050201,0.40761328,0.3151327,0.39813688,163
0.31295177,0.36971927,0.25489867,0.3041711,164
0.34139735,0.46953896,0.27734002,0.28181532,165
0.44455993,0.33814368,0.25818348,0.30665538,166
0.3703778,0.46185255,0.32577968,0.41176957,167
0.53865844,0.6355035,0.5581862,0.6848386,168
0.7350646,0.42528188,0.4234415,0.61067414,169
0.5684878,0.41731444,0.4132475,0.5887613,170
0.66451555,0.37178865,0.46851653,0.50320095,171
0.5805938,0.4675653,0.44891912,0.532379,172
0.6162743,0.49080208,0.5023645,0.5643932,173
0.9314031,0.6909587,0.7081362,0.7872806,174
0.64607143,0.6539728,0.5449137,0.8202516,175
0.44977495,0.4073868,0.37778416,0.48822123,176
0.39739746,0.36005977,0.3154803,0.37979394,177
0.43682396,0.32864046,0.21084301,0.35231206,178
0.44531992,0.2897632,0.2612979,0.30901486,179
0.4604406,0.34846422,0.25460458,0.43407553,180
0.6325528,0.4704316,0.55541885,0.4925997,181
0.52528256,0.41823956,0.4310681,0.42953682,182
0.3843205,0.43100318,0.37615347,0.3913232,183
0.43422472,0.46180117,0.28361762,0.3469662,184
0.33272943,0.494988,0.22139205,0.38404128,185
0.34330934,0.53990275,0.31382528,0.40684813,186
0.5274993,0.36213848,0.38869503,0.6220991,187
0.6724157,0.70782787,0.67468566,0.81119126,188
0.9024083,0.6096246,0.67380565,0.78594595,189
0.61412114,0.446892,0.52335554,0.63548654,190
0.5841034,0.2909673,0.48201096,0.5487256,191
0.6163797,0.38437665,0.48978516,0.61291957,192
0.38022184,0.41407502,0.4757601,0.6859153,193
0.64595264,0.61062247,0.565033,0.7683745,194
0.49818975,0.73904294,0.4994514,0.59858876,195
0.39092508,0.6036184,0.2682466,0.40307343,196
0.4542522,0.3474488,0.27250177,0.34670007,197
0.41370744,0.38248688,0.26501918,0.37329197,198
0.30320928,0.37477738,0.24306257,0.38370922,199
0.35214314,0.50715214,0.4018126,0.5832107,200
0.6840819,0.6902745,0.57730687,0.6757317,201
0.81499076,0.7770422,0.7123461,0.74854887,202
0.48671034,0.592402,0.630992,0.6813917,203
0.54699546,0.40218553,0.5909232,0.661169,204
0.30503836,0.3547434,0.6008717,0.503717,205
0.58207846,0.4775628,0.5714845,0.53296393,206
0.5177707,0.4149447,0.6787327,0.5835034,207
0.5594308,0.7553728,0.65496135,0.7730917,208
0.86254466,0.7081943,0.64945626,0.6519775,209
0.5305625,0.37745404,0.354301,0.43400383,210
0.4471778,0.21048823,0.2479501,0.3989763,211
0.3826307,0.2247967,0.27233094,0.40114382,212
0.37693846,0.20127597,0.24846292,0.50290227,213
0.3767003,0.27408266,0.3456533,0.54463434,214
0.46234378,0.6166585,0.7794691,0.82237774,215
0.74580896,0.6623589,0.76794165,0.7400532,216
0.49354136,0.5132464,0.65326744,0.63133633,217
0.44487002,0.3993785,0.46809205,0.43677637,218
0.5150699,0.3938203,0.39606413,0.5669638,219
0.19284587,0.51302606,0.42273283,0.54909146,220
0.47515252,0.44152382,0.39090458,0.6226265,221
0.6745286,0.5618929,0.6167458,0.72152674,222
0.8029327,0.6620259,0.7022859,0.78604233,223
0.79981166,0.49572048,0.4337685,0.73807204,224
0.77893686,0.35220528,0.38892046,0.7071772,225
0.78427815,0.34026745,0.36958686,0.67560965,226
0.7977773,0.5197628,0.3468625,0.77162147,227
0.6752643,0.38878238,0.43265954,0.68164796,228
0.6283403,0.5300497,0.54141116,0.6917716,229
0.5789218,0.6036184,0.65476805,0.6061864,230
0.6268047,0.5070503,0.5494321,0.6546905,231
0.51680505,0.40164897,0.48871937,0.64214516,232
0.47860518,0.41242298,0.49337232,0.6854011,233
0.6580803,0.3709387,0.5554312,0.7062908,234
0.4475351,0.44646412,0.5445855,0.65647054,235
0.618997,0.67514,0.8327009,0.69187784,236
0.42438552,0.6201807,0.3834193,0.5476284,237
0.39513606,0.35187143,0.34006825,0.5309852,238
0.45237154,0.34334344,0.26420745,0.50725013,239
0.2899436,0.31328744,0.22963968,0.41260287,240
0.50880414,0.29081127,0.2588273,0.45370513,241
0.47554561,0.38838553,0.36733383,0.6888976,242
0.6131495,0.7045972,0.71148723,0.7348387,243
0.72060066,0.6612092,0.73566365,0.72523737,244
0.75764424,0.5283896,0.6221152,0.6387571,245
0.5212393,0.3838165,0.5744766,0.60571927,246
0.5390806,0.47262377,0.64019114,0.6625331,247
0.3680724,0.44524407,0.52059215,0.6654213,248
0.6104906,0.52724123,0.65181863,0.7184198,249
0.35453182,0.7467618,0.6741575,0.65465415,250
0.44947922,0.48352152,0.3377513,0.5031748,251
0.514203,0.4194328,0.2477592,0.3786361,252
0.36257207,0.3604382,0.27470562,0.36913624,253
0.38850087,0.3558242,0.22804396,0.408744,254
0.42525923,0.48513174,0.4435608,0.5217996,255
0.70475125,0.4854589,0.52126503,0.6245853,256
0.79396605,0.73862743,0.53252226,0.5947072,257
0.71579486,0.44774434,0.35554388,0.3622344,258
0.61676973,0.26934832,0.3173535,0.33542874,259
0.48157644,0.32311827,0.24806224,0.3217423,260
0.46005133,0.25788513,0.19370113,0.4133221,261
0.3892266,0.3727517,0.27725127,0.40951094,262
0.5730761,0.5338735,0.4158057,0.4948363,263
0.5976696,0.63911283,0.71554697,0.5521592,264
0.56486136,0.60355294,0.5105808,0.58518344,265
0.58492863,0.4302427,0.50931597,0.53921986,266
0.58549196,0.27203992,0.52745175,0.47893327,267
0.5743131,0.3762428,0.63506925,0.46764943,268
0.4375172,0.44977298,0.6164315,0.5342271,269
0.620229,0.5644295,0.7681244,0.6876036,270
0.8635011,0.7485789,0.6844812,0.64519876,271
0.75934225,0.6093896,0.64085174,0.6901755,272
0.6597101,0.403627,0.45310047,0.43973678,273
0.44909012,0.43017638,0.23860824,0.4764148,274
0.46824622,0.4059103,0.26758167,0.37594822,275
0.44168442,0.4442063,0.23495239,0.4404384,276
0.47791818,0.57664734,0.40856355,0.5201012,277
0.6626264,0.578119,0.6028655,0.6492421,278
0.7563096,0.47400126,0.6318024,0.59817904,279
0.66398007,0.4616495,0.5173749,0.56538343,280
0.5449266,0.41272476,0.48777282,0.5853064,281
0.5371355,0.42889798,0.47888687,0.62290573,282
0.6479977,0.4466005,0.50485414,0.61710626,283
0.8550269,0.7169554,0.76873446,0.7771228,284
0.7228956,0.698892,0.6117513,0.76707524,285
0.3670782,0.43410218,0.35521975,0.57547474,286
0.44388142,0.43697804,0.25773603,0.37549007,287
0.4156611,0.4161468,0.30569664,0.44689873,288
0.34848833,0.3677429,0.29785463,0.44330227,289
0.39179462,0.49681157,0.3404958,0.47532344,290
0.57836086,0.48053014,0.5769248,0.56331664,291
0.6195922,0.41799527,0.37522143,0.42772314,292
0.37536123,0.3022704,0.31063092,0.51381457,293
0.46192962,0.28663066,0.21612775,0.44221267,294
0.41558027,0.25638285,0.22904634,0.42419493,295
0.4235763,0.27713948,0.25976497,0.5074198,296
0.49475986,0.42227647,0.46665683,0.5803617,297
0.8423951,0.8099464,0.66702914,0.76652926,298
0.80631554,0.5445723,0.6104492,0.68702936,299
0.7302881,0.44484675,0.5653342,0.6388871,300
0.6266229,0.42374182,0.5362742,0.6026747,301
0.59167475,0.4622226,0.57388574,0.69059443,302
0.6619852,0.4187981,0.6151925,0.6112991,303
0.43474165,0.5265504,0.66845167,0.7089717,304
0.57745874,0.8579084,0.596168,0.5899935,305
0.5129415,0.49750373,0.36828876,0.46416268,306
0.522298,0.49078837,0.29758814,0.3768272,307
0.33247313,0.41053957,0.22400947,0.3795371,308
0.37767628,0.3944698,0.22304381,0.3874113,309
0.6971553,0.67201126,0.45530188,0.56546694,310
0.7826027,0.58944136,0.61765635,0.6394976,311
0.8668089,0.92559594,0.7353491,0.7244891,312
0.80636865,0.860551,0.7211474,0.6899383,313
0.5230823,0.9258355,0.8176382,0.7330296,314
0.641786,0.7949027,0.8195485,0.6520136,315
0.5942888,0.76878244,0.84164,0.63045335,316
0.7830253,0.8179919,0.6915193,0.7064721,317
0.841788,0.7997848,0.8892103,0.63987505,318
0.90145046,0.9037801,0.63634366,0.65754783,319
0.8607166,0.46036306,0.8044162,0.7059015,320
0.9638672,0.69342095,0.7483778,0.6625537,321
0.85211474,0.5056231,0.60544115,0.6516753,322
0.8423427,0.6356513,0.52789885,0.6882997,323
0.94071525,0.6811915,0.7468005,0.7194771,324
0.8143754,0.7985916,0.71808016,0.8064769,325
0.8324437,0.8121537,0.769851,0.7149518,326
0.98376524,0.88090163,0.8248908,0.6748319,327
0.7529705,0.6471213,0.8678349,0.69926816,328
0.9015761,0.760156,0.83759004,0.57442904,329
0.5949291,0.85052204,0.7333717,0.6713742,330
0.9351821,0.8367541,0.7069239,0.62161845,331
0.83799857,0.8149174,0.77187955,0.6195444,332
0.9844978,0.8820736,0.8089827,0.8012171,333
0.7768468,0.8196306,0.8751475,0.8340002,334
0.9255073,0.7449964,0.8480411,0.7832334,335
0.90966713,0.92491174,0.88496625,0.6887708,336
0.8808716,0.8828256,0.7687966,0.8170023,337
0.71550506,0.8860637,0.7762099,0.7468145,338
0.82115936,0.8955164,0.8625833,0.81507915,339
0.80188125,0.82002157,0.8112714,0.8398549,340
0.9672952,0.8623912,0.7302875,0.75528395,341
0.90986246,0.78339237,0.9351438,0.8301436,342
0.76424104,0.7265845,0.8814301,0.82947356,343
0.67327505,0.6840569,0.83995134,0.67762744,344
0.69078696,0.84276205,0.6634689,0.6698158,345
0.94347054,0.9308212,0.70517546,0.8106397,346
0.9295191,0.81843626,0.8520416,0.83425486,347
0.9454577,0.8782836,0.85797447,0.8449238,348
0.8957302,0.81024396,0.8717293,0.71299034,349
0.8824715,0.6988857,0.8484992,0.8078313,350
0.6922321,0.81330127,0.697936,0.75328296,351
0.7471919,0.71912044,0.8169178,0.9192426,352
0.7582114,0.9430429,0.75817895,0.79042035,353
0.8864954,0.79907924,0.7437583,0.8074721,354
0.95784265,0.8282711,0.79335994,0.7905712,355
0.75325364,0.8130772,0.8793108,0.78123385,356
0.58664256,0.6506767,0.85128826,0.7952902,357
0.6718328,0.6403952,0.7411343,0.7900486,358
0.8335876,0.7301317,0.6850029,0.7093187,359
0.9467564,0.93900687,0.7163039,0.80821,360
0.8469066,0.85509133,0.8895155,0.83512294,361
0.9464809,0.8498281,0.8671222,0.8747362,362
0.92403305,0.8043259,0.8968657,0.79385257,363
0.61029845,0.56193954,0.84791386,0.77814555,364
0.63382226,0.85035807,0.8172021,0.8452729,365
0.6767056,0.8317961,0.8340874,0.86321324,366
0.88276356,0.79087263,0.7653057,0.7855058,367
0.8718873,0.7836727,0.7784034,0.8540767,368
0.8621873,0.6581698,0.89911187,0.84323716,369
0.8055551,0.6111555,0.7923529,0.8042878,370
0.8800382,0.51483595,0.7818888,0.7702434,371
0.85417235,0.6888067,0.7954321,0.7825502,372
