@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.11078401,3875.9766,18.0,176
0.11285677,3875.9766,41.0,177
0.09470823,559.8633,26.0,178
0.096572146,2756.25,27.0,179
0.11632182,2756.25,28.0,180
0.10121074,2799.3164,27.0,181
0.10606941,2756.25,28.0,182
0.11112389,2756.25,27.0,183
0.11201286,2756.25,27.0,184
0.11276249,2756.25,28.0,185
0.13419136,3875.9766,41.0,186
0.10597891,2756.25,39.0,187
0.09726331,430.66406,13.0,188
0.09605419,775.1953,28.0,189
0.12609637,732.1289,27.0,190
0.12776484,732.1289,27.0,191
0.1323453,732.1289,28.0,192
0.1307396,732.1289,27.0,193
0.12113312,732.1289,28.0,194
0.19552091,2627.0508,19.0,195
0.21693115,2627.0508,19.0,196
0.17056482,2627.0508,31.0,197
0.17697099,2627.0508,31.0,198
0.17529373,2627.0508,41.0,199
0.11594106,2627.0508,24.0,200
0.08987243,430.66406,21.0,201
0.09847268,559.8633,14.0,202
0.09419362,559.8633,15.0,203
0.0793439,732.1289,28.0,204
0.1069282,2971.582,14.0,205
0.12383539,732.1289,37.0,206
0.13903022,732.1289,40.0,207
0.09685343,559.8633,10.0,208
0.11049271,559.8633,14.0,209
0.14028057,559.8633,23.0,210
0.15836295,559.8633,25.0,211
0.14396669,559.8633,26.0,212
0.15847899,559.8633,26.0,213
0.15286541,559.8633,26.0,214
0.07949132,430.66406,17.0,215
0.09452654,2067.1875,14.0,216
0.1315274,387.59766,12.0,217
0.16156764,387.59766,13.0,218
0.17544597,387.59766,13.0,219
0.17396261,387.59766,13.0,220
0.17772183,387.59766,13.0,221
0.11148314,732.1289,14.0,222
0.09572351,559.8633,13.0,223
0.09334467,1851.8555,11.0,224
0.123498775,1851.8555,12.0,225
0.102819234,1851.8555,11.0,226
0.11090729,1851.8555,11.0,227
0.07712825,430.66406,13.0,228
0.0990792,430.66406,10.0,229
0.09349606,430.66406,16.0,230
0.091576,559.8633,13.0,231
0.081026755,732.1289,23.0,232
0.09500449,559.8633,17.0,233
0.08219292,732.1289,23.0,234
0.093536615,559.8633,17.0,235
0.07931933,2067.1875,10.0,236
0.12329216,2799.3164,34.0,237
0.10386685,2799.3164,21.0,238
0.07972443,1679.5898,24.0,239
0.11622109,2799.3164,28.0,240
0.111459464,2756.25,20.0,241
0.13000198,559.8633,19.0,242
0.12599261,559.8633,18.0,243
0.09141363,2756.25,14.0,244
0.07737398,2756.25,10.0,245
0.1037501,387.59766,13.0,246
0.09041292,387.59766,13.0,247
0.08171917,732.1289,28.0,248
0.09921996,387.59766,13.0,249
0.16299947,2627.0508,21.0,250
0.16833468,2627.0508,26.0,251
0.17425328,2627.0508,28.0,252
0.18534943,2627.0508,31.0,253
0.19924451,2627.0508,28.0,254
0.13362646,2627.0508,28.0,255
0.09660811,559.8633,20.0,256
0.10857046,2756.25,14.0,257
0.17425136,3875.9766,31.0,258
0.14579391,3919.043,11.0,259
0.19540189,3919.043,28.0,260
0.17296928,3919.043,28.0,261
0.17062578,3919.043,28.0,262
0.13632467,3919.043,27.0,263
0.09651554,3316.1133,34.0,264
0.10330686,3316.1133,28.0,265
0.092775285,3316.1133,32.0,266
0.10868975,3316.1133,29.0,267
0.10190767,344.53125,17.0,268
0.120248675,344.53125,13.0,269
0.12270237,387.59766,13.0,270
0.101288304,559.8633,17.0,271
0.10715109,2756.25,20.0,272
0.19326226,2627.0508,31.0,273
0.16079016,2627.0508,31.0,274
0.188097,2627.0508,22.0,275
0.17223477,2627.0508,28.0,276
0.19853133,2627.0508,28.0,277
0.09687898,2497.8516,14.0,278
0.0813717,559.8633,10.0,279
0.07911708,559.8633,10.0,280
0.07952446,2239.4531,12.0,281
0.079566814,559.8633,10.0,282
0.095875755,344.53125,13.0,283
0.10867668,3316.1133,19.0,284
0.10914195,559.8633,12.0,285
0.12608036,2756.25,18.0,286
0.1369944,2756.25,21.0,287
0.13205203,2756.25,21.0,288
0.12592997,2756.25,21.0,289
0.11065478,2756.25,21.0,290
0.07971374,559.8633,12.0,291
0.07905067,559.8633,25.0,292
0.11872774,559.8633,19.0,293
0.111129016,559.8633,19.0,294
0.11618824,559.8633,19.0,295
0.08991416,559.8633,19.0,296
0.10204339,2196.3867,23.0,297
0.10253798,2196.3867,19.0,298
0.10126651,732.1289,28.0,299
0.12566203,732.1289,32.0,300
0.12739684,732.1289,27.0,301
0.13384974,732.1289,37.0,302
0.111883976,732.1289,24.0,303
0.12814917,387.59766,11.0,304
0.17404817,2627.0508,24.0,305
0.16697161,2627.0508,17.0,306
0.18761946,2627.0508,27.0,307
0.15773702,2627.0508,27.0,308
0.18077359,2627.0508,27.0,309
0.14491925,2627.0508,16.0,310
0.13338844,559.8633,17.0,311
0.09535853,559.8633,10.0,312
0.14108671,861.3281,20.0,313
0.102613896,1119.7266,14.0,314
0.11537582,559.8633,14.0,315
0.12263159,732.1289,15.0,316
0.103585586,2842.3828,17.0,317
0.08730052,430.66406,12.0,318
0.1060016,86.13281,9.0,319
0.16221447,86.13281,8.0,320
0.08297974,215.33203,10.0,321
0.1458145,473.73047,20.0,322
0.17251219,172.26562,9.0,323
0.17013428,172.26562,11.0,324
0.1166425,129.19922,7.0,325
0.11907974,473.73047,13.0,326
0.08417103,129.19922,7.0,327
0.085177734,2497.8516,16.0,328
0.10774937,215.33203,8.0,329
0.07204541,430.66406,14.0,330
0.07989067,430.66406,20.0,331
0.14455785,2153.3203,20.0,332
0.07174279,2713.1836,18.0,333
0.07635902,3273.0469,14.0,334
0.079236045,129.19922,12.0,335
0.20803775,129.19922,13.0,336
0.15394717,129.19922,9.0,337
0.14376613,129.19922,13.0,338
0.110623434,215.33203,17.0,339
0.07394632,2756.25,13.0,340
0.13561931,129.19922,15.0,341
0.15252826,129.19922,11.0,342
0.18519065,215.33203,12.0,343
0.20598747,215.33203,9.0,344
0.21945772,172.26562,45.0,345
0.12851128,2497.8516,16.0,346
0.067897566,3531.4453,24.0,347
0.07624544,215.33203,10.0,348
0.16233777,129.19922,9.0,349
0.08330199,172.26562,11.0,350
0.18910497,215.33203,14.0,351
0.19002119,215.33203,14.0,352
0.09707856,344.53125,13.0,353
0.080460414,2756.25,12.0,354
0.1556485,129.19922,10.0,355
0.14641087,129.19922,11.0,356
0.19254237,215.33203,15.0,357
0.250103,215.33203,11.0,358
0.1758093,172.26562,45.0,359
0.111696064,2497.8516,16.0,360
0.07486421,3617.5781,18.0,361
0.0683604,2670.1172,15.0,362
0.14498587,129.19922,8.0,363
0.11043211,172.26562,11.0,364
0.18652493,172.26562,15.0,365
0.3244723,215.33203,255.0,366
0.3164622,129.19922,8.0,367
0.38167188,129.19922,9.0,368
0.41299835,86.13281,8.0,369
0.5683919,86.13281,11.0,370
0.2761922,86.13281,9.0,371
0.1439125,86.13281,13.0,372
0.2525094,86.13281,8.0,373
0.2802602,129.19922,8.0,374
0.27188486,129.19922,9.0,375
0.28818366,129.19922,10.0,376
0.22002745,86.13281,8.0,377
0.28008643,86.13281,7.0,378
0.1996022,86.13281,6.0,379
0.14550918,129.19922,8.0,380
0.23438004,129.19922,7.0,381
0.4845104,215.33203,10.0,382
0.21675149,215.33203,8.0,383
0.28510252,129.19922,17.0,384
0.25472918,129.19922,14.0,385
0.19328761,86.13281,6.0,386
0.18989302,129.19922,11.0,387
0.15032059,172.26562,10.0,388
0.17992054,215.33203,10.0,389
0.1508694,86.13281,5.0,390
0.15377186,301.46484,15.0,391
0.16302541,301.46484,13.0,392
0.33020264,86.13281,6.0,393
0.2961499,86.13281,8.0,394
0.31717658,129.19922,11.0,395
0.4138449,86.13281,11.0,396
0.17006555,43.066406,6.0,397
0.21207175,86.13281,13.0,398
0.18270402,129.19922,8.0,399
0.21473144,129.19922,9.0,400
0.23594819,129.19922,8.0,401
0.2924229,86.13281,8.0,402
0.48419106,86.13281,10.0,403
0.24054416,43.066406,7.0,404
0.27132237,86.13281,6.0,405
0.20835783,129.19922,7.0,406
0.23589647,86.13281,8.0,407
0.27081475,86.13281,17.0,408
0.42328212,215.33203,9.0,409
0.26463372,344.53125,14.0,410
0.26197267,86.13281,8.0,411
0.12860541,430.66406,12.0,412
0.1424593,43.066406,6.0,413
0.25650975,86.13281,9.0,414
0.27759936,86.13281,7.0,415
0.14980452,430.66406,16.0,416
0.14342883,430.66406,13.0,417
0.16211237,172.26562,25.0,418
0.21436347,86.13281,9.0,419
0.23221014,86.13281,6.0,420
0.18893798,86.13281,8.0,421
0.20863332,129.19922,14.0,422
0.33289757,172.26562,17.0,423
0.4335557,86.13281,11.0,424
0.17133772,129.19922,11.0,425
0.1386211,1679.5898,21.0,426
0.2484319,86.13281,9.0,427
0.26779026,86.13281,8.0,428
0.16590269,172.26562,8.0,429
0.28006145,86.13281,10.0,430
0.31719074,86.13281,7.0,431
0.2757435,43.066406,5.0,432
0.14226776,86.13281,7.0,433
0.18730348,86.13281,13.0,434
0.1920145,129.19922,10.0,435
0.1998469,258.39844,14.0,436
0.30626115,215.33203,8.0,437
0.17590475,86.13281,10.0,438
0.27343765,86.13281,12.0,439
0.15519522,86.13281,12.0,440
0.17803292,129.19922,12.0,441
0.18151991,86.13281,13.0,442
0.2811946,86.13281,8.0,443
0.22230071,86.13281,10.0,444
0.18303747,86.13281,6.0,445
0.1772139,86.13281,8.0,446
0.26483935,86.13281,10.0,447
0.25085446,129.19922,11.0,448
0.18745287,129.19922,8.0,449
0.20003788,86.13281,15.0,450
0.52286273,86.13281,9.0,451
0.31052554,86.13281,8.0,452
0.13192265,43.066406,9.0,453
0.16288751,129.19922,15.0,454
0.12643822,1679.5898,28.0,455
0.099643655,129.19922,6.0,456
0.26350808,86.13281,15.0,457
0.36966512,86.13281,8.0,458
0.19927476,129.19922,12.0,459
0.24883382,86.13281,10.0,460
0.2838805,86.13281,6.0,461
0.42890486,86.13281,8.0,462
0.24087265,86.13281,7.0,463
0.29058185,215.33203,24.0,464
0.31531093,172.26562,12.0,465
0.16353647,344.53125,17.0,466
0.2308155,86.13281,12.0,467
0.1689386,129.19922,15.0,468
0.18700092,129.19922,13.0,469
0.17538308,129.19922,10.0,470
0.23223916,172.26562,14.0,471
0.13548546,172.26562,13.0,472
0.27182135,86.13281,12.0,473
0.24696098,86.13281,12.0,474
0.26233387,129.19922,8.0,475
0.27390853,129.19922,8.0,476
0.42850813,129.19922,7.0,477
0.43061906,86.13281,10.0,478
0.28604078,86.13281,13.0,479
0.2880952,86.13281,7.0,480
0.153373,129.19922,6.0,481
0.29505435,129.19922,7.0,482
0.18009117,387.59766,20.0,483
0.14065354,387.59766,19.0,484
0.16365528,86.13281,7.0,485
0.18981501,430.66406,16.0,486
0.13581641,559.8633,42.0,487
0.0883544,387.59766,9.0,488
0.12831585,86.13281,8.0,489
0.15943564,129.19922,9.0,490
0.14660437,172.26562,9.0,491
0.33537558,215.33203,10.0,492
0.30415288,215.33203,19.0,493
0.1922358,86.13281,9.0,494
0.1877729,172.26562,9.0,495
0.1813739,129.19922,7.0,496
