@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.04728519,2067.1875,12.0,184
0.029444681,2110.254,1.0,185
0.032656725,2110.254,1.0,186
0.025941974,2110.254,2.0,187
0.041371264,3875.9766,13.0,188
0.038654514,2067.1875,15.0,189
0.05047503,3316.1133,22.0,190
0.058485057,1679.5898,5.0,191
0.039001822,3014.6484,6.0,192
0.04935571,3359.1797,9.0,193
0.047929112,3875.9766,17.0,194
0.041895024,818.2617,2.0,195
0.038277343,2885.4492,10.0,196
0.0201272,4177.4414,159.0,197
0.046156466,1679.5898,8.0,198
0.027181948,4134.375,165.0,199
0.050981753,1076.6602,12.0,200
0.03565801,1636.5234,9.0,201
0.03902567,3316.1133,12.0,202
0.03113075,3875.9766,8.0,203
0.030683484,2583.9844,13.0,204
0.05935812,3316.1133,14.0,205
0.040633917,2583.9844,4.0,206
0.04121924,3316.1133,33.0,207
0.037735566,4435.84,161.0,208
0.046853323,3875.9766,19.0,209
0.027762499,4435.84,159.0,210
0.035378333,4435.84,159.0,211
0.012668384,4995.703,152.0,212
0.030685145,4134.375,168.0,213
0.026885085,4134.375,26.0,214
0.04356138,2885.4492,15.0,215
0.046198715,2885.4492,6.0,216
0.03523295,2067.1875,17.0,217
0.030398035,2971.582,7.0,218
0.048973944,3875.9766,21.0,219
0.038950004,3875.9766,19.0,220
0.044203945,4134.375,167.0,221
0.057391096,1679.5898,8.0,222
0.045891806,1162.793,10.0,223
0.052673332,1248.9258,18.0,224
0.044098232,3875.9766,10.0,225
0.049873378,3875.9766,16.0,226
0.052536827,3875.9766,17.0,227
0.05087751,3316.1133,16.0,228
0.050712507,2067.1875,13.0,229
0.04331664,1636.5234,25.0,230
0.043424033,775.1953,17.0,231
0.04091118,3316.1133,13.0,232
0.04912768,775.1953,17.0,233
0.043304093,1679.5898,9.0,234
0.05062027,4435.84,34.0,235
0.038824562,1636.5234,10.0,236
0.054624237,430.66406,8.0,237
0.043952994,2196.3867,8.0,238
0.04626273,3919.043,13.0,239
0.040214047,2110.254,1.0,240
0.038597487,3316.1133,14.0,241
0.024645975,4435.84,167.0,242
0.04755531,1076.6602,19.0,243
0.04698113,775.1953,18.0,244
0.044477213,1679.5898,31.0,245
0.052723978,3875.9766,9.0,246
0.04385508,2067.1875,11.0,247
0.04641272,2067.1875,11.0,248
0.049093585,3875.9766,28.0,249
0.044620607,775.1953,2.0,250
NaN,NaN,NaN,251
0.018977076,4995.703,149.0,252
0.013192011,4995.703,149.0,253
0.013774306,4995.703,149.0,254
0.039813645,1679.5898,8.0,255
0.03280068,2454.7852,5.0,256
0.046264462,3316.1133,18.0,257
0.03124823,2067.1875,9.0,258
0.021555312,861.3281,5.0,259
0.030920533,4565.039,152.0,260
0.042518243,2756.25,10.0,261
0.022166016,1162.793,11.0,262
0.048092306,1679.5898,8.0,263
0.042632047,1679.5898,19.0,264
0.034693565,4134.375,9.0,265
0.04513815,4134.375,160.0,266
0.046903905,2756.25,9.0,267
0.04710201,775.1953,29.0,268
0.048597813,2067.1875,7.0,269
0.058325313,2196.3867,8.0,270
0.03680674,2067.1875,16.0,271
0.043471765,2067.1875,14.0,272
0.02470779,4995.703,149.0,273
0.022866275,4995.703,149.0,274
0.013911051,3703.711,20.0,275
0.034239177,4565.039,167.0,276
0.020005563,3359.1797,11.0,277
0.042526197,4134.375,21.0,278
0.045010205,3316.1133,26.0,279
0.032677524,4134.375,15.0,280
0.04533254,3316.1133,19.0,281
0.043867644,1679.5898,16.0,282
0.0458863,3359.1797,8.0,283
0.037683725,775.1953,1.0,284
0.06454915,3875.9766,22.0,285
0.046983797,3875.9766,15.0,286
0.05170619,3875.9766,26.0,287
0.035449296,3359.1797,13.0,288
0.046122238,1679.5898,8.0,289
0.04928383,430.66406,11.0,290
0.04918934,4134.375,168.0,291
0.06112422,1119.7266,21.0,292
0.021819307,861.3281,5.0,293
0.043460947,4565.039,165.0,294
0.03266481,4565.039,178.0,295
0.0560142,3875.9766,16.0,296
0.05084504,2713.1836,4.0,297
0.06271315,1119.7266,18.0,298
0.055842165,2756.25,9.0,299
0.049423967,4565.039,165.0,300
0.051367402,1679.5898,3.0,301
0.05691763,387.59766,11.0,302
0.04056096,3359.1797,9.0,303
0.046625987,732.1289,22.0,304
0.048364166,775.1953,19.0,305
0.03951097,2067.1875,14.0,306
0.040417884,4565.039,152.0,307
0.030650387,4435.84,18.0,308
0.04464114,2067.1875,11.0,309
0.05120512,2067.1875,11.0,310
0.060980633,2067.1875,20.0,311
0.05633391,3316.1133,26.0,312
