@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.087356664,2756.25,16.0,738
0.07504624,2497.8516,23.0,739
0.1111854,473.73047,7.0,740
0.11877612,2928.5156,13.0,741
0.089514,3057.7148,17.0,742
0.11288274,2971.582,17.0,743
0.10464019,3316.1133,14.0,744
0.107835695,430.66406,7.0,745
0.09978786,2627.0508,14.0,746
0.05822923,473.73047,7.0,747
0.105958596,2627.0508,33.0,748
0.14164716,2627.0508,13.0,749
0.06271204,2583.9844,21.0,750
0.11216893,258.39844,8.0,751
0.12448484,2454.7852,16.0,752
0.19342521,129.19922,3.0,753
0.061246365,2454.7852,29.0,754
0.12736122,387.59766,9.0,755
0.07854028,2497.8516,26.0,756
0.15961477,86.13281,3.0,757
0.116528586,86.13281,3.0,758
0.2558703,129.19922,4.0,759
0.09781319,1248.9258,18.0,760
0.060396995,1248.9258,25.0,761
0.1657406,301.46484,4.0,762
0.10817519,1119.7266,24.0,763
0.06718955,516.7969,7.0,764
0.1006839,1248.9258,22.0,765
0.058334224,3186.914,23.0,766
0.050191842,1248.9258,17.0,767
0.051734626,3273.0469,187.0,768
0.07632523,3057.7148,193.0,769
0.08507259,3143.8477,15.0,770
0.07801587,3057.7148,18.0,771
0.09066862,1248.9258,16.0,772
0.083552055,559.8633,19.0,773
0.14825392,473.73047,5.0,774
0.148322,430.66406,31.0,775
0.08770471,1248.9258,19.0,776
0.10737241,215.33203,8.0,777
0.09075738,602.9297,14.0,778
0.09841894,1679.5898,12.0,779
0.11681628,1679.5898,22.0,780
0.14396676,1248.9258,12.0,781
0.1284349,1248.9258,10.0,782
0.08854067,1248.9258,15.0,783
0.07787496,430.66406,7.0,784
0.09883672,1421.1914,17.0,785
0.070516296,2583.9844,23.0,786
0.11375118,2540.918,14.0,787
0.109547906,818.2617,12.0,788
0.19249147,1679.5898,22.0,789
0.12330626,559.8633,19.0,790
0.10813583,215.33203,7.0,791
0.13365553,602.9297,21.0,792
0.11114573,301.46484,4.0,793
0.08335597,2583.9844,31.0,794
0.06450211,732.1289,15.0,795
0.08984999,732.1289,12.0,796
0.085556135,732.1289,24.0,797
0.066015474,129.19922,8.0,798
0.076004766,2971.582,11.0,799
0.10268921,172.26562,9.0,800
0.098470286,301.46484,18.0,801
0.13015054,2627.0508,42.0,802
0.13914827,2627.0508,12.0,803
0.13982031,2627.0508,14.0,804
0.0931056,2583.9844,17.0,805
0.09980502,2885.4492,17.0,806
0.08751281,2713.1836,18.0,807
0.07373741,2670.1172,27.0,808
0.06590882,1119.7266,42.0,809
0.07204325,2756.25,17.0,810
0.09299421,2756.25,38.0,811
0.064527385,2756.25,82.0,812
0.09833833,2756.25,15.0,813
0.0599351,3789.8438,11.0,814
0.051557083,3229.9805,99.0,815
0.074706666,732.1289,21.0,816
0.056718115,732.1289,20.0,817
0.10435726,3014.6484,21.0,818
0.10447336,387.59766,9.0,819
0.11880312,2497.8516,15.0,820
0.09501856,1808.7891,13.0,821
0.15325673,516.7969,9.0,822
0.10907461,559.8633,13.0,823
0.11623403,344.53125,12.0,824
0.101882085,818.2617,16.0,825
0.11341713,2627.0508,14.0,826
0.096433826,2454.7852,13.0,827
0.09098992,2885.4492,21.0,828
0.08330342,2627.0508,19.0,829
0.08242458,387.59766,13.0,830
0.094105944,2842.3828,19.0,831
0.09982102,2885.4492,13.0,832
0.097991966,559.8633,8.0,833
0.16678205,516.7969,6.0,834
0.083901525,3531.4453,27.0,835
0.08058829,2756.25,16.0,836
0.14686336,2756.25,13.0,837
0.054646872,689.0625,14.0,838
0.12788363,172.26562,12.0,839
0.08546301,344.53125,8.0,840
0.0799759,3531.4453,16.0,841
0.07278448,1119.7266,16.0,842
0.05793082,2540.918,11.0,843
0.057891306,2670.1172,34.0,844
0.0737361,2756.25,11.0,845
0.113036625,129.19922,13.0,846
0.08471301,1205.8594,16.0,847
0.13084532,2368.6523,14.0,848
0.11330764,559.8633,6.0,849
0.09376281,732.1289,30.0,850
0.09770091,775.1953,9.0,851
0.101798095,818.2617,21.0,852
0.13933125,775.1953,11.0,853
0.08544323,2627.0508,14.0,854
0.12301872,86.13281,13.0,855
0.06924052,2627.0508,38.0,856
0.095063895,387.59766,17.0,857
0.07834815,2583.9844,12.0,858
0.09987189,2627.0508,13.0,859
0.09176039,602.9297,11.0,860
0.08295494,602.9297,33.0,861
0.08735223,387.59766,28.0,862
0.08577928,732.1289,10.0,863
0.105206065,301.46484,10.0,864
0.117638305,258.39844,5.0,865
0.09584321,732.1289,24.0,866
0.09052597,732.1289,17.0,867
0.07179287,2497.8516,16.0,868
0.076117,430.66406,4.0,869
0.08537322,387.59766,9.0,870
0.092327304,559.8633,18.0,871
0.08593491,2756.25,30.0,872
0.06505598,2756.25,18.0,873
0.09472741,344.53125,12.0,874
0.100719795,473.73047,6.0,875
0.18279749,516.7969,9.0,876
0.0884153,559.8633,7.0,877
0.09493388,2928.5156,14.0,878
0.10401166,818.2617,24.0,879
0.11010543,775.1953,18.0,880
0.10720344,387.59766,10.0,881
0.11617878,732.1289,23.0,882
0.1367991,344.53125,9.0,883
0.14044209,2756.25,14.0,884
0.09376345,2540.918,25.0,885
0.14184651,387.59766,5.0,886
0.13374949,43.066406,2.0,887
0.08593776,2239.4531,12.0,888
0.0739919,602.9297,14.0,889
0.067867555,2497.8516,13.0,890
0.060567517,732.1289,20.0,891
0.063791156,732.1289,16.0,892
0.057225745,732.1289,12.0,893
0.086365014,732.1289,19.0,894
0.11656273,1636.5234,24.0,895
0.08379942,2454.7852,17.0,896
0.061006512,990.52734,20.0,897
0.042272843,818.2617,10.0,898
0.0879141,818.2617,36.0,899
0.06683383,818.2617,23.0,900
0.056234207,1119.7266,20.0,901
0.0700822,2799.3164,20.0,902
0.13755995,473.73047,8.0,903
0.18866163,387.59766,9.0,904
0.075843036,387.59766,8.0,905
0.056267,645.9961,11.0,906
0.056207385,2239.4531,42.0,907
0.06795983,2411.7188,19.0,908
0.07954311,2540.918,12.0,909
0.0743738,516.7969,18.0,910
0.080515236,2627.0508,15.0,911
0.07646974,344.53125,15.0,912
0.104970045,301.46484,11.0,913
0.10592318,2627.0508,21.0,914
0.07489487,2583.9844,45.0,915
0.058776405,3531.4453,16.0,916
0.06798511,732.1289,35.0,917
0.06495388,344.53125,7.0,918
0.080787435,3919.043,35.0,919
0.107011795,3919.043,47.0,920
0.09358685,3919.043,25.0,921
0.07068791,3919.043,32.0,922
0.0867133,3617.5781,186.0,923
0.07586231,2368.6523,20.0,924
0.037726354,3660.6445,22.0,925
0.030813953,2454.7852,57.0,926
0.05009722,387.59766,26.0,927
0.05187599,3402.246,63.0,928
0.06065665,732.1289,14.0,929
0.07060547,1291.9922,15.0,930
0.12078202,990.52734,13.0,931
0.09721904,2971.582,196.0,932
0.15425366,387.59766,6.0,933
0.11624635,818.2617,26.0,934
0.14127748,818.2617,21.0,935
0.12113625,86.13281,2.0,936
0.104041256,732.1289,30.0,937
0.13299477,344.53125,7.0,938
0.09738661,2368.6523,24.0,939
0.098246194,430.66406,10.0,940
0.14530209,473.73047,10.0,941
0.1164496,516.7969,6.0,942
0.09800947,2239.4531,13.0,943
0.10760123,2799.3164,14.0,944
0.095179245,2454.7852,21.0,945
0.061216556,2756.25,29.0,946
0.085301444,516.7969,13.0,947
0.114332125,301.46484,6.0,948
0.097025886,2756.25,25.0,949
0.0904017,2756.25,14.0,950
0.071436025,2713.1836,16.0,951
0.06258359,430.66406,15.0,952
0.06037409,1119.7266,10.0,953
0.06449975,559.8633,12.0,954
0.061299562,559.8633,17.0,955
0.10606654,2497.8516,13.0,956
0.070943564,2497.8516,14.0,957
0.15613452,473.73047,10.0,958
0.10208762,430.66406,10.0,959
0.11581659,732.1289,11.0,960
0.08243613,775.1953,16.0,961
0.08408925,559.8633,5.0,962
0.09441322,775.1953,13.0,963
0.0685525,2627.0508,14.0,964
0.10638972,2627.0508,14.0,965
0.110905096,2627.0508,24.0,966
0.13170101,2670.1172,29.0,967
0.09542533,2627.0508,19.0,968
0.11316645,473.73047,17.0,969
0.089094155,2540.918,23.0,970
0.09170565,344.53125,10.0,971
0.10429766,473.73047,4.0,972
0.06171253,2756.25,18.0,973
0.09130934,602.9297,7.0,974
0.10273734,258.39844,7.0,975
0.069805734,301.46484,8.0,976
0.0816439,818.2617,13.0,977
0.08770962,430.66406,24.0,978
0.11560723,430.66406,5.0,979
0.103966884,559.8633,7.0,980
0.07818171,473.73047,9.0,981
0.06891339,430.66406,11.0,982
0.061074845,430.66406,13.0,983
0.088247865,301.46484,18.0,984
0.094510905,559.8633,11.0,985
0.14713724,473.73047,8.0,986
0.09618062,2325.586,16.0,987
0.08209888,2325.586,18.0,988
0.12888843,818.2617,25.0,989
0.07860642,775.1953,31.0,990
0.06904887,2885.4492,9.0,991
0.13416083,2454.7852,12.0,992
0.054922972,2885.4492,30.0,993
0.08637226,559.8633,5.0,994
0.11053776,2540.918,20.0,995
0.11699617,516.7969,9.0,996
0.1035342,602.9297,34.0,997
0.07874848,2368.6523,19.0,998
0.09068279,1593.457,25.0,999
0.15221928,861.3281,20.0,1000
0.10768266,861.3281,13.0,1001
0.14790255,861.3281,24.0,1002
0.14821814,861.3281,16.0,1003
0.115570076,861.3281,11.0,1004
0.100433655,1636.5234,17.0,1005
0.13695398,904.39453,21.0,1006
0.11223411,732.1289,26.0,1007
0.15215741,689.0625,14.0,1008
0.07617695,1981.0547,37.0,1009
0.089050084,387.59766,9.0,1010
0.03853492,1119.7266,13.0,1011
0.09250852,387.59766,8.0,1012
0.15957585,2971.582,22.0,1013
0.09299275,2799.3164,10.0,1014
0.12072561,2239.4531,26.0,1015
0.1700539,2239.4531,47.0,1016
0.106893644,2239.4531,23.0,1017
0.10551033,387.59766,9.0,1018
0.12248087,387.59766,16.0,1019
0.13125533,2627.0508,12.0,1020
0.19116533,387.59766,8.0,1021
0.11422298,2627.0508,14.0,1022
0.12429568,2627.0508,34.0,1023
0.09830466,2627.0508,19.0,1024
0.03441846,1033.5938,32.0,1025
0.091194905,2627.0508,32.0,1026
0.11396931,861.3281,17.0,1027
0.13592894,2799.3164,19.0,1028
0.13819075,947.46094,22.0,1029
0.116572425,990.52734,21.0,1030
0.16210784,818.2617,12.0,1031
0.18385328,818.2617,12.0,1032
0.10844376,1894.9219,17.0,1033
0.10240939,215.33203,10.0,1034
0.09985945,2756.25,19.0,1035
0.1233199,818.2617,9.0,1036
0.16736926,1894.9219,35.0,1037
0.14970224,645.9961,6.0,1038
0.063255675,3617.5781,66.0,1039
0.11956392,129.19922,3.0,1040
0.08607734,602.9297,8.0,1041
0.08925019,602.9297,29.0,1042
0.18649256,430.66406,7.0,1043
0.12602744,430.66406,6.0,1044
0.03387849,645.9961,4.0,1045
0.060397863,387.59766,6.0,1046
0.023674928,3057.7148,23.0,1047
0.13943656,129.19922,3.0,1048
0.101452455,129.19922,3.0,1049
0.16717154,1033.5938,25.0,1050
0.07265942,473.73047,10.0,1051
0.059848018,861.3281,12.0,1052
0.05620152,430.66406,6.0,1053
0.059551537,947.46094,35.0,1054
0.23003386,990.52734,12.0,1055
0.12475919,990.52734,35.0,1056
0.11674434,2583.9844,18.0,1057
0.084572956,3445.3125,16.0,1058
0.07641123,1248.9258,56.0,1059
0.13283898,129.19922,5.0,1060
0.18061069,818.2617,7.0,1061
0.16412115,1119.7266,12.0,1062
0.19032374,818.2617,7.0,1063
0.19074427,1119.7266,13.0,1064
0.18097457,1119.7266,14.0,1065
0.15656127,129.19922,5.0,1066
0.17234561,1378.125,33.0,1067
0.14366934,129.19922,5.0,1068
0.14807186,559.8633,25.0,1069
0.19009225,387.59766,4.0,1070
0.12184726,516.7969,12.0,1071
0.13705146,3531.4453,17.0,1072
0.13104366,2454.7852,53.0,1073
0.02104397,3488.379,166.0,1074
0.1004088,2670.1172,11.0,1075
0.14119755,645.9961,5.0,1076
0.1886101,602.9297,9.0,1077
0.18441758,1205.8594,26.0,1078
0.108890496,1119.7266,19.0,1079
0.07015816,3316.1133,12.0,1080
0.11542612,3359.1797,22.0,1081
0.18713745,602.9297,14.0,1082
0.16640727,1033.5938,39.0,1083
0.2914671,430.66406,5.0,1084
0.22644055,86.13281,3.0,1085
0.15973115,86.13281,3.0,1086
0.13942486,645.9961,10.0,1087
0.18002048,1033.5938,20.0,1088
0.21718605,129.19922,4.0,1089
0.2231209,1033.5938,40.0,1090
0.29946604,1033.5938,38.0,1091
0.2445294,430.66406,12.0,1092
0.252858,1033.5938,49.0,1093
0.19039187,1033.5938,44.0,1094
0.19930357,1033.5938,36.0,1095
0.23172909,430.66406,8.0,1096
0.16737394,430.66406,5.0,1097
0.11409949,430.66406,8.0,1098
0.063976854,387.59766,4.0,1099
0.059412252,473.73047,7.0,1100
0.018275226,3531.4453,16.0,1101
0.11539539,2799.3164,16.0,1102
0.10707949,645.9961,9.0,1103
0.18824488,215.33203,11.0,1104
0.1059763,86.13281,5.0,1105
0.091224104,1593.457,15.0,1106
0.14179568,215.33203,12.0,1107
0.12651224,818.2617,15.0,1108
0.092428006,3574.5117,14.0,1109
0.090652004,2583.9844,13.0,1110
0.09352117,3100.7812,10.0,1111
0.17413972,3445.3125,181.0,1112
0.14530975,3402.246,11.0,1113
0.09241461,3445.3125,22.0,1114
0.08010401,430.66406,4.0,1115
0.1038863,2497.8516,16.0,1116
0.08883079,430.66406,19.0,1117
0.09508202,3100.7812,10.0,1118
0.11532748,387.59766,5.0,1119
0.097108975,2928.5156,14.0,1120
0.017656725,2368.6523,43.0,1121
0.03304112,2713.1836,29.0,1122
0.1462122,516.7969,13.0,1123
0.061812017,6761.426,31.0,1124
0.09119425,2713.1836,18.0,1125
0.05452494,3617.5781,36.0,1126
0.05691994,1981.0547,214.0,1127
0.046299122,1851.8555,10.0,1128
0.062262293,2627.0508,24.0,1129
0.08981788,2540.918,13.0,1130
0.1676476,559.8633,10.0,1131
0.15483227,559.8633,10.0,1132
0.08317596,904.39453,40.0,1133
0.08799061,387.59766,9.0,1134
0.046645716,430.66406,5.0,1135
NaN,NaN,NaN,1136
0.10678506,2713.1836,9.0,1137
0.23630401,775.1953,18.0,1138
0.1795221,732.1289,12.0,1139
0.08922367,2799.3164,24.0,1140
0.061154645,3488.379,15.0,1141
0.08686448,2799.3164,18.0,1142
0.078545816,3316.1133,16.0,1143
0.1188677,215.33203,41.0,1144
0.14661428,2756.25,16.0,1145
0.19875482,602.9297,9.0,1146
0.11041566,430.66406,9.0,1147
0.043034967,430.66406,5.0,1148
0.017442593,430.66406,6.0,1149
0.19010206,516.7969,17.0,1150
0.06483366,2799.3164,19.0,1151
0.099954605,129.19922,3.0,1152
0.074837424,1033.5938,29.0,1153
0.28088784,172.26562,4.0,1154
0.116677,129.19922,3.0,1155
0.1419932,344.53125,248.0,1156
0.10213223,344.53125,7.0,1157
0.18093315,2411.7188,17.0,1158
0.104858905,2497.8516,17.0,1159
0.056383364,3531.4453,80.0,1160
0.050240528,2842.3828,16.0,1161
0.04249141,2368.6523,20.0,1162
0.018143747,516.7969,15.0,1163
0.10833213,1981.0547,18.0,1164
0.16927528,2024.1211,16.0,1165
0.11566011,2497.8516,19.0,1166
0.13146527,1937.9883,15.0,1167
0.18468957,1937.9883,16.0,1168
0.23648782,1937.9883,15.0,1169
0.21921131,129.19922,12.0,1170
0.23324774,129.19922,11.0,1171
0.24045812,129.19922,12.0,1172
0.11420224,301.46484,11.0,1173
0.13350768,129.19922,3.0,1174
0.04236799,2540.918,31.0,1175
0.088093564,6675.293,13.0,1176
0.071221344,6503.0273,12.0,1177
0.16686651,559.8633,13.0,1178
0.09294461,2670.1172,22.0,1179
0.15120149,3574.5117,14.0,1180
0.05568464,2239.4531,13.0,1181
0.10629636,387.59766,6.0,1182
0.06539765,301.46484,5.0,1183
0.025619403,2239.4531,35.0,1184
0.102540456,2799.3164,14.0,1185
0.10447791,2842.3828,18.0,1186
0.118106544,129.19922,11.0,1187
0.09004823,1894.9219,16.0,1188
0.10203116,2756.25,10.0,1189
0.073731825,3660.6445,20.0,1190
0.113632925,3445.3125,12.0,1191
0.15119949,818.2617,14.0,1192
0.1280176,2670.1172,20.0,1193
0.15417148,1894.9219,26.0,1194
0.17246483,861.3281,9.0,1195
0.18328099,86.13281,6.0,1196
0.13003697,129.19922,10.0,1197
0.16668837,1894.9219,25.0,1198
0.14014292,1851.8555,6.0,1199
0.12384761,1851.8555,37.0,1200
0.12813967,818.2617,9.0,1201
0.11754959,1851.8555,32.0,1202
0.09865819,1894.9219,11.0,1203
0.12963514,215.33203,8.0,1204
0.21480621,129.19922,3.0,1205
0.24149607,172.26562,4.0,1206
0.078871384,1421.1914,13.0,1207
0.05979334,689.0625,17.0,1208
0.06851483,430.66406,8.0,1209
0.05154405,818.2617,11.0,1210
0.07806537,344.53125,7.0,1211
0.07525956,387.59766,13.0,1212
0.12781799,3660.6445,17.0,1213
0.06042383,3445.3125,25.0,1214
0.08782112,3143.8477,12.0,1215
0.16921964,430.66406,9.0,1216
0.08076349,2454.7852,11.0,1217
0.08397689,430.66406,4.0,1218
0.053662024,2799.3164,12.0,1219
0.11837342,2411.7188,38.0,1220
0.08271964,2885.4492,13.0,1221
0.18689854,430.66406,29.0,1222
0.117981836,430.66406,47.0,1223
0.121343695,2454.7852,12.0,1224
0.19696733,430.66406,14.0,1225
0.05718766,516.7969,16.0,1226
0.18430513,559.8633,8.0,1227
0.26220673,43.066406,9.0,1228
0.24609315,775.1953,24.0,1229
0.21195492,689.0625,26.0,1230
0.051060043,689.0625,53.0,1231
0.025624353,559.8633,8.0,1232
0.07123794,3359.1797,14.0,1233
0.18501373,559.8633,15.0,1234
0.12610354,559.8633,7.0,1235
0.20305116,516.7969,11.0,1236
0.075650044,4521.9727,173.0,1237
0.06758406,516.7969,14.0,1238
0.051185038,1593.457,20.0,1239
0.077808976,516.7969,5.0,1240
0.18433116,86.13281,3.0,1241
0.31486657,43.066406,1.0,1242
0.12836167,86.13281,2.0,1243
0.04347831,4478.9062,82.0,1244
0.03319949,9130.078,31.0,1245
0.044422787,645.9961,44.0,1246
0.15559615,1119.7266,17.0,1247
0.14921284,430.66406,12.0,1248
0.28006035,43.066406,3.0,1249
0.16675341,430.66406,8.0,1250
0.20576267,86.13281,5.0,1251
0.2469625,86.13281,4.0,1252
0.20930175,129.19922,6.0,1253
0.14474916,86.13281,3.0,1254
0.103183314,947.46094,19.0,1255
0.1709281,1033.5938,20.0,1256
0.22242166,1033.5938,17.0,1257
0.19902474,1033.5938,14.0,1258
0.165452,86.13281,4.0,1259
0.17459801,1033.5938,21.0,1260
0.0927897,1033.5938,14.0,1261
0.15782256,1033.5938,20.0,1262
0.1058885,1033.5938,21.0,1263
0.07297319,2540.918,29.0,1264
0.16266312,1033.5938,24.0,1265
0.20620945,1033.5938,39.0,1266
0.17988196,86.13281,2.0,1267
0.14240703,1033.5938,48.0,1268
0.15551893,1033.5938,40.0,1269
0.19080316,1033.5938,40.0,1270
0.19263698,1033.5938,35.0,1271
0.181124,1033.5938,38.0,1272
0.21517777,1033.5938,29.0,1273
0.21497537,1033.5938,13.0,1274
0.286007,430.66406,5.0,1275
0.17200449,602.9297,9.0,1276
0.093659855,1033.5938,24.0,1277
0.1429065,86.13281,4.0,1278
0.26596463,86.13281,4.0,1279
0.25693455,387.59766,13.0,1280
0.15953456,990.52734,12.0,1281
0.28162375,86.13281,2.0,1282
0.2098308,43.066406,1.0,1283
0.119519815,559.8633,14.0,1284
0.07686176,559.8633,19.0,1285
0.067728825,2411.7188,15.0,1286
0.06518351,473.73047,8.0,1287
0.1260954,602.9297,6.0,1288
0.12136282,689.0625,23.0,1289
0.07423109,559.8633,11.0,1290
0.19629256,344.53125,12.0,1291
0.074670345,818.2617,37.0,1292
0.08923032,818.2617,26.0,1293
0.07168302,818.2617,10.0,1294
0.058640238,516.7969,6.0,1295
0.1211087,86.13281,2.0,1296
0.14157887,559.8633,10.0,1297
0.24485724,129.19922,6.0,1298
0.19036667,516.7969,7.0,1299
0.14347602,516.7969,9.0,1300
0.13821061,516.7969,8.0,1301
0.097242996,861.3281,16.0,1302
0.2684266,430.66406,16.0,1303
0.18206912,43.066406,4.0,1304
0.14913756,43.066406,4.0,1305
0.16386566,1033.5938,12.0,1306
0.10527765,43.066406,3.0,1307
0.14189604,129.19922,4.0,1308
0.13998865,129.19922,3.0,1309
0.094231285,602.9297,10.0,1310
0.17127483,86.13281,4.0,1311
0.20650403,86.13281,3.0,1312
0.20128657,172.26562,4.0,1313
0.19141471,86.13281,2.0,1314
0.26042274,129.19922,3.0,1315
0.09993458,3531.4453,12.0,1316
0.21894766,430.66406,4.0,1317
0.11429444,3531.4453,20.0,1318
0.1500051,129.19922,3.0,1319
0.17190883,818.2617,9.0,1320
0.13172135,129.19922,4.0,1321
0.118755676,3531.4453,194.0,1322
0.09703435,3531.4453,188.0,1323
0.19230704,129.19922,3.0,1324
0.16830476,86.13281,2.0,1325
0.15625319,3531.4453,11.0,1326
0.13239606,86.13281,4.0,1327
0.086389296,3531.4453,18.0,1328
0.14451033,86.13281,4.0,1329
0.11719511,3531.4453,181.0,1330
0.2740686,430.66406,5.0,1331
0.28603503,430.66406,9.0,1332
0.09417597,86.13281,3.0,1333
0.1438566,818.2617,6.0,1334
0.09784573,1033.5938,22.0,1335
0.18415564,172.26562,4.0,1336
0.09098,1033.5938,43.0,1337
0.21639855,430.66406,15.0,1338
0.17793243,430.66406,6.0,1339
0.22427246,172.26562,4.0,1340
0.18656732,86.13281,4.0,1341
0.14615671,129.19922,3.0,1342
0.14726457,86.13281,2.0,1343
0.19433555,430.66406,10.0,1344
0.12230403,1033.5938,10.0,1345
0.12705722,1033.5938,12.0,1346
0.13959964,1033.5938,17.0,1347
0.15681466,1033.5938,18.0,1348
0.17220317,1033.5938,26.0,1349
0.17977795,1033.5938,20.0,1350
0.1880657,387.59766,12.0,1351
0.23140153,430.66406,5.0,1352
0.18342686,1033.5938,19.0,1353
0.19156885,1033.5938,20.0,1354
0.14712603,172.26562,4.0,1355
0.099911146,1033.5938,37.0,1356
0.112298526,86.13281,2.0,1357
0.06876817,1033.5938,20.0,1358
0.16667686,172.26562,4.0,1359
0.118137404,473.73047,14.0,1360
0.06883052,473.73047,4.0,1361
0.10376904,2454.7852,26.0,1362
0.065966085,3832.9102,26.0,1363
0.09369624,3359.1797,17.0,1364
0.09139276,301.46484,9.0,1365
0.08506024,473.73047,6.0,1366
0.06356152,2411.7188,14.0,1367
0.08956514,258.39844,5.0,1368
0.07545175,258.39844,7.0,1369
0.06327884,2411.7188,14.0,1370
0.10279317,516.7969,6.0,1371
0.09670732,387.59766,4.0,1372
0.06944241,602.9297,6.0,1373
0.078708716,473.73047,7.0,1374
0.046573795,4478.9062,108.0,1375
0.072293915,258.39844,13.0,1376
0.06624358,3316.1133,12.0,1377
0.077398345,559.8633,8.0,1378
0.055670574,2756.25,14.0,1379
0.059244744,2540.918,25.0,1380
0.086232744,2411.7188,22.0,1381
0.06437054,2799.3164,19.0,1382
0.09382583,2799.3164,19.0,1383
0.06745462,2799.3164,15.0,1384
0.06836055,516.7969,24.0,1385
0.080949716,559.8633,33.0,1386
0.061346557,559.8633,22.0,1387
0.0830927,2454.7852,24.0,1388
0.067833684,2497.8516,10.0,1389
0.10792028,3273.0469,13.0,1390
0.092945114,2627.0508,14.0,1391
0.062379424,473.73047,7.0,1392
0.07045172,2497.8516,23.0,1393
0.07781445,473.73047,29.0,1394
0.071822315,2885.4492,25.0,1395
0.07358459,2799.3164,16.0,1396
0.09946986,2454.7852,47.0,1397
0.13295858,559.8633,6.0,1398
0.11359469,516.7969,13.0,1399
0.059955735,645.9961,15.0,1400
0.15706964,387.59766,9.0,1401
0.09651566,559.8633,27.0,1402
0.08200981,3014.6484,13.0,1403
0.09230806,3057.7148,16.0,1404
0.052379314,2799.3164,11.0,1405
0.06272555,2756.25,25.0,1406
0.09000078,516.7969,13.0,1407
0.062205393,430.66406,8.0,1408
0.076686494,559.8633,8.0,1409
0.09290555,559.8633,21.0,1410
0.079960585,258.39844,8.0,1411
0.15598817,602.9297,13.0,1412
0.069670185,602.9297,13.0,1413
0.07685456,2842.3828,15.0,1414
0.055414,2799.3164,14.0,1415
0.0872525,559.8633,11.0,1416
0.10853986,559.8633,19.0,1417
0.07557242,1593.457,26.0,1418
0.044572454,2196.3867,32.0,1419
0.06875936,2497.8516,17.0,1420
0.089398086,430.66406,7.0,1421
0.104107775,430.66406,11.0,1422
0.053534836,516.7969,25.0,1423
0.07707448,344.53125,18.0,1424
0.110771716,516.7969,11.0,1425
0.06805432,2713.1836,19.0,1426
0.06653081,2454.7852,18.0,1427
0.109766796,86.13281,2.0,1428
0.066638105,473.73047,12.0,1429
0.12695393,387.59766,18.0,1430
0.108093105,344.53125,6.0,1431
0.07310533,2497.8516,43.0,1432
0.052155174,3531.4453,13.0,1433
0.067643814,473.73047,8.0,1434
0.07520467,430.66406,5.0,1435
0.07869311,2454.7852,19.0,1436
0.07510743,2454.7852,9.0,1437
0.09582044,775.1953,17.0,1438
0.119282074,129.19922,6.0,1439
0.11433319,559.8633,4.0,1440
0.20870869,43.066406,2.0,1441
0.22575761,344.53125,9.0,1442
0.13533424,86.13281,2.0,1443
0.22563604,86.13281,2.0,1444
0.076363,602.9297,4.0,1445
0.05206261,2411.7188,14.0,1446
0.13440707,904.39453,15.0,1447
0.10049553,387.59766,13.0,1448
0.0696059,2411.7188,23.0,1449
0.07394792,387.59766,26.0,1450
0.043499656,3316.1133,18.0,1451
0.10696211,387.59766,22.0,1452
0.082339786,2454.7852,18.0,1453
0.26309863,387.59766,19.0,1454
0.09387524,1119.7266,26.0,1455
0.082206056,559.8633,5.0,1456
0.12605996,430.66406,5.0,1457
0.1256947,387.59766,9.0,1458
0.12472832,904.39453,28.0,1459
0.09391501,732.1289,8.0,1460
0.07246423,732.1289,21.0,1461
0.06930105,1119.7266,32.0,1462
0.09416371,559.8633,45.0,1463
0.054492798,645.9961,9.0,1464
0.07660016,430.66406,7.0,1465
0.16141078,387.59766,8.0,1466
0.10525052,2067.1875,16.0,1467
0.11979026,2110.254,16.0,1468
0.09126527,2971.582,11.0,1469
0.07212602,3143.8477,18.0,1470
0.07680214,2497.8516,12.0,1471
0.09076693,1894.9219,32.0,1472
0.07523392,86.13281,8.0,1473
0.07052288,86.13281,12.0,1474
0.08115107,2799.3164,17.0,1475
0.07474417,2756.25,10.0,1476
0.067559235,2067.1875,16.0,1477
0.096762925,2024.1211,35.0,1478
0.11840018,2067.1875,36.0,1479
0.05543609,2756.25,20.0,1480
0.050171256,2454.7852,35.0,1481
0.13155109,516.7969,31.0,1482
0.058427244,2928.5156,20.0,1483
0.060468655,3316.1133,18.0,1484
0.06457625,3746.7773,46.0,1485
0.0973418,430.66406,40.0,1486
0.12081806,430.66406,5.0,1487
0.106206164,2153.3203,11.0,1488
0.19101499,430.66406,6.0,1489
0.23025449,430.66406,5.0,1490
0.17301355,172.26562,4.0,1491
0.19510823,473.73047,14.0,1492
0.083554335,1894.9219,11.0,1493
0.21330366,1937.9883,22.0,1494
0.104258955,602.9297,12.0,1495
0.08694911,3359.1797,183.0,1496
0.08152816,2153.3203,18.0,1497
0.07461371,2756.25,16.0,1498
0.18794523,129.19922,11.0,1499
0.15261509,818.2617,26.0,1500
0.1722784,559.8633,10.0,1501
0.17374195,861.3281,15.0,1502
0.1885236,818.2617,21.0,1503
