@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.081899546,2756.25,18.0,170
0.07435783,344.53125,11.0,171
0.07389319,2756.25,19.0,172
0.071065255,2756.25,19.0,173
0.08288275,2756.25,20.0,174
0.08727201,2756.25,10.0,175
0.090965584,2756.25,28.0,176
0.08207205,559.8633,19.0,177
0.0698462,2756.25,27.0,178
0.08184925,559.8633,19.0,179
0.091670044,559.8633,19.0,180
0.071580514,559.8633,19.0,181
0.064578824,430.66406,12.0,182
0.060385995,1119.7266,27.0,183
0.07156059,430.66406,19.0,184
0.075816475,3875.9766,26.0,185
0.11165916,2756.25,26.0,186
0.09949839,3875.9766,7.0,187
0.079319164,2067.1875,15.0,188
0.08588214,430.66406,11.0,189
0.07235341,430.66406,10.0,190
0.10406612,387.59766,11.0,191
0.09838436,387.59766,11.0,192
0.07910618,387.59766,11.0,193
0.09792665,387.59766,9.0,194
0.085555054,559.8633,17.0,195
0.08094101,559.8633,17.0,196
0.082156464,559.8633,24.0,197
0.08791733,559.8633,19.0,198
0.08364401,430.66406,24.0,199
0.092057824,430.66406,24.0,200
0.08106096,2756.25,18.0,201
0.058947615,2756.25,18.0,202
0.05992367,2756.25,18.0,203
0.07662922,430.66406,11.0,204
0.098433614,732.1289,40.0,205
0.091757916,2196.3867,10.0,206
0.06542083,430.66406,11.0,207
0.048224002,775.1953,21.0,208
0.07949078,2196.3867,23.0,209
0.08291687,2196.3867,39.0,210
0.06478375,2196.3867,33.0,211
0.059310533,2196.3867,32.0,212
0.04675931,3316.1133,21.0,213
0.050770424,2756.25,12.0,214
0.051003955,1119.7266,19.0,215
0.09123443,387.59766,12.0,216
0.09487818,732.1289,26.0,217
0.09117054,732.1289,26.0,218
0.084800735,732.1289,25.0,219
0.07231696,732.1289,25.0,220
0.060281698,732.1289,21.0,221
0.10845051,387.59766,11.0,222
0.06862973,2756.25,23.0,223
0.079656705,430.66406,19.0,224
0.095695965,430.66406,11.0,225
0.09789938,430.66406,13.0,226
0.08712042,430.66406,13.0,227
0.07274156,2756.25,15.0,228
0.07646439,2756.25,13.0,229
0.06864131,3359.1797,24.0,230
0.06968676,3316.1133,18.0,231
0.07527729,2756.25,30.0,232
0.05390608,2756.25,10.0,233
0.059170283,2756.25,11.0,234
0.087457515,2928.5156,15.0,235
0.07668539,559.8633,17.0,236
0.072218195,2196.3867,19.0,237
0.073193416,559.8633,26.0,238
0.071372986,559.8633,24.0,239
0.08171949,559.8633,19.0,240
0.09535873,559.8633,26.0,241
0.06787413,1119.7266,19.0,242
0.06411921,2067.1875,15.0,243
0.079913124,559.8633,10.0,244
0.07593616,559.8633,10.0,245
0.084865935,2756.25,18.0,246
0.08982161,3316.1133,19.0,247
0.07435676,2756.25,21.0,248
0.07230307,2928.5156,20.0,249
0.07813706,559.8633,17.0,250
0.08159871,559.8633,24.0,251
0.07824367,559.8633,24.0,252
0.08666399,559.8633,24.0,253
0.09053342,559.8633,24.0,254
0.08885184,559.8633,24.0,255
0.09588182,2756.25,9.0,256
0.074301384,559.8633,16.0,257
0.07765864,559.8633,26.0,258
0.09586763,3316.1133,23.0,259
0.083694145,559.8633,26.0,260
0.08240047,1119.7266,21.0,261
0.08180254,559.8633,26.0,262
0.07920822,2196.3867,12.0,263
0.08328722,2196.3867,12.0,264
0.08756466,344.53125,13.0,265
0.08840141,344.53125,13.0,266
0.0924844,344.53125,13.0,267
0.07275937,2239.4531,12.0,268
0.07656461,732.1289,30.0,269
0.07850702,732.1289,34.0,270
0.095086165,3316.1133,19.0,271
0.090050474,430.66406,13.0,272
0.08829823,559.8633,19.0,273
0.09475295,559.8633,19.0,274
0.08488528,559.8633,19.0,275
0.07797766,559.8633,24.0,276
0.08409535,559.8633,19.0,277
0.09305601,559.8633,18.0,278
0.08088811,2067.1875,16.0,279
0.072147354,2067.1875,24.0,280
0.07749075,559.8633,10.0,281
0.07921232,2756.25,19.0,282
0.07486476,2756.25,19.0,283
0.07933353,559.8633,14.0,284
0.10371063,2756.25,12.0,285
0.07005152,559.8633,19.0,286
0.077000566,559.8633,19.0,287
0.065473124,1119.7266,21.0,288
0.07582163,2196.3867,10.0,289
0.0813771,2196.3867,10.0,290
0.07716635,2196.3867,21.0,291
0.07329206,3875.9766,31.0,292
0.06634721,2067.1875,34.0,293
0.075270385,1119.7266,19.0,294
0.094758354,2196.3867,21.0,295
0.06851998,3316.1133,22.0,296
0.09264343,3316.1133,24.0,297
0.09428775,3316.1133,14.0,298
0.09056036,3316.1133,23.0,299
0.08258939,2196.3867,12.0,300
0.08694507,2067.1875,11.0,301
0.08429387,3316.1133,18.0,302
0.07527794,387.59766,11.0,303
0.056390066,2239.4531,11.0,304
0.089996874,559.8633,16.0,305
0.076034464,559.8633,24.0,306
0.08173854,559.8633,19.0,307
0.089728825,559.8633,17.0,308
0.09148576,559.8633,19.0,309
0.11025743,3316.1133,25.0,310
0.112120464,3316.1133,36.0,311
0.07592554,2196.3867,11.0,312
0.08144328,2067.1875,21.0,313
0.089194976,2196.3867,25.0,314
0.0748559,1636.5234,16.0,315
0.0763416,2713.1836,38.0,316
0.0784819,430.66406,11.0,317
0.073830016,2799.3164,21.0,318
0.09027715,2110.254,16.0,319
0.15336762,516.7969,10.0,320
0.06412235,990.52734,18.0,321
0.11304861,129.19922,3.0,322
0.11300694,473.73047,13.0,323
0.090438984,2196.3867,14.0,324
0.09360409,344.53125,5.0,325
0.066017136,2670.1172,11.0,326
0.075552694,2583.9844,10.0,327
0.082071245,430.66406,17.0,328
0.09085135,430.66406,18.0,329
0.07115372,86.13281,2.0,330
0.0486357,1464.2578,22.0,331
0.06610843,1378.125,11.0,332
0.06980838,129.19922,23.0,333
0.06835011,301.46484,9.0,334
0.057120148,2799.3164,12.0,335
