@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
327.03552,168.4756,258
309.5398,145.42387,259
314.13144,158.93416,260
343.0957,166.23236,261
338.9743,153.43387,262
311.5981,138.9866,263
294.2871,140.10379,264
320.12695,145.27422,265
332.41882,161.58311,266
312.86478,110.693245,267
329.72717,152.49452,268
333.76465,153.40047,269
285.9131,110.33781,270
289.16016,151.50264,271
279.93164,108.56889,272
296.3982,119.44265,273
322.34552,153.68504,274
317.12537,137.75465,275
320.12695,136.94997,276
295.4834,153.3258,277
281.06497,131.34857,278
340.2246,153.81802,279
300.19818,130.24434,280
329.24963,160.97197,281
319.73544,132.00943,282
305.15625,142.04321,283
329.24963,168.24136,284
343.0957,191.46666,285
309.5398,160.93729,286
302.6953,134.4199,287
292.59824,104.85764,288
322.34552,158.72237,289
320.91418,211.50221,290
397.9336,160.3459,291
331.61133,129.27098,292
353.44153,198.60823,293
331.61133,170.15318,294
340.36353,166.02422,295
296.6797,143.47491,296
305.15625,134.76863,297
288.66132,153.12117,298
327.86038,163.9655,299
305.15625,141.2951,300
309.2951,168.4567,301
309.2951,159.89835,302
320.3064,157.84642,303
318.96057,151.82793,304
274.69385,146.93544,305
329.24963,160.97197,306
363.83688,162.55685,307
303.92578,144.84033,308
294.2871,153.44243,309
300.19818,133.55296,310
300.19818,139.93573,311
299.0039,169.45659,312
298.85477,156.15858,313
302.6953,144.30623,314
300.19818,129.82483,315
294.2871,130.98135,316
301.46484,116.141464,317
300.1598,161.30876,318
335.91797,153.03226,319
317.12537,133.6124,320
309.5398,167.64034,321
330.63885,153.29544,322
310.60013,182.0242,323
301.46484,161.13974,324
302.7315,122.918144,325
292.85156,160.08394,326
309.5398,170.72365,327
305.15625,206.7627,328
317.61475,203.0725,329
286.3334,165.50305,330
239.9414,122.58458,331
307.99005,113.26086,332
290.39062,158.60165,333
285.46875,149.57156,334
268.5984,121.18117,335
290.39062,162.23534,336
314.13144,146.80135,337
343.142,185.14964,338
365.32193,183.97827,339
325.0819,196.54662,340
348.9864,207.41827,341
376.43228,177.60316,342
344.53125,200.15457,343
343.142,207.69005,344
359.9121,230.54877,345
379.6224,207.0498,346
348.9864,183.18541,347
340.0761,186.3011,348
295.4834,189.4032,349
305.37997,142.38727,350
376.83105,153.83167,351
359.9121,222.9535,352
295.13156,162.19666,353
312.86478,156.43623,354
268.87405,155.89203,355
309.2951,157.77528,356
332.41882,182.78961,357
343.142,154.49936,358
381.21744,248.83835,359
354.58008,206.14473,360
289.16016,136.02107,361
358.37402,207.83519,362
344.53125,158.3371,363
303.92578,160.4618,364
308.19397,171.2903,365
301.46484,160.08995,366
279.93164,157.07512,367
309.2951,151.22736,368
343.0957,194.351,369
266.1283,160.80643,370
267.23257,107.35836,371
268.5984,164.2698,372
315.35724,166.3958,373
298.93152,154.55316,374
271.20197,145.74117,375
334.80658,180.6438,376
290.0649,192.96918,377
296.3982,155.89687,378
301.46484,160.46126,379
287.49738,173.73007,380
335.62097,195.3615,381
323.65057,145.41713,382
288.30566,162.35631,383
283.5205,145.11632,384
316.26892,178.7416,385
276.34277,140.79158,386
302.7699,175.33286,387
295.13156,158.45393,388
316.26892,148.25473,389
317.61475,173.85645,390
287.9297,176.15053,391
293.8649,143.39565,392
304.07492,166.26878,393
319.52496,195.91718,394
280.54688,143.89647,395
307.79813,168.14153,396
296.6797,137.60965,397
293.8649,119.7646,398
274.69385,147.61617,399
305.37997,181.28352,400
353.44153,214.40315,401
261.89032,135.95894,402
277.53906,135.59819,403
251.93848,136.71465,404
330.63885,181.5284,405
301.46484,166.28926,406
291.33157,157.39226,407
320.91418,210.36766,408
337.58505,182.09102,409
310.88562,183.58063,410
330.63885,203.88235,411
341.66016,172.95808,412
259.50272,150.61002,413
290.0649,149.66422,414
288.79825,140.34216,415
318.4304,165.59134,416
279.93164,175.6713,417
302.7699,182.86436,418
287.9297,135.318,419
282.46497,156.3952,420
312.23145,163.63818,421
290.39062,183.68224,422
290.39062,157.93199,423
299.0039,138.09785,424
290.39062,150.0163,425
323.65057,170.66644,426
297.66486,157.49925,427
304.07492,136.98596,428
313.57727,153.1109,429
332.41882,184.68233,430
309.2951,196.1996,431
310.88562,209.52989,432
343.0462,177.56113,433
343.0462,202.15215,434
289.16016,143.97011,435
275.39835,143.70026,436
303.99817,162.13235,437
275.39835,149.03566,438
278.73535,173.30508,439
275.8578,169.17064,440
318.96057,170.8668,441
319.28543,147.25212,442
297.66486,154.70361,443
304.1565,154.13077,444
302.7699,151.98004,445
296.6797,170.09195,446
284.7168,138.91383,447
279.34967,154.67056,448
301.46484,153.40047,449
305.15625,146.81302,450
324.34387,178.86316,451
273.52988,137.00124,452
309.5398,160.93729,453
285.46875,127.79115,454
313.57727,161.58311,455
287.9297,132.54839,456
332.41882,223.8403,457
302.7315,152.61533,458
291.33157,160.8208,459
305.15625,178.12495,460
276.34277,172.67636,461
301.46484,147.67178,462
320.3064,186.15248,463
316.74646,190.26994,464
338.9743,275.37784,465
340.2246,192.39006,466
276.34277,135.19125,467
329.24963,196.76253,468
289.16016,168.39899,469
332.0281,225.56209,470
279.93164,162.2549,471
327.3047,215.50423,472
287.49738,160.22069,473
304.07492,161.81476,474
310.60013,181.40562,475
318.96057,175.88138,476
340.2246,155.01912,477
268.5984,112.40519,478
274.69385,136.3172,479
307.99005,171.32382,480
275.8578,154.618,481
283.5205,163.48068,482
291.6211,144.15927,483
281.12793,159.04347,484
289.16016,133.66312,485
290.39062,114.79687,486
301.46484,138.96352,487
313.57727,149.27744,488
272.7539,157.91016,489
327.3047,132.31973,490
284.23828,153.80367,491
292.85156,186.95837,492
310.60013,141.7519,493
306.68503,170.87589,494
300.19818,169.54788,495
292.85156,149.82442,496
317.61475,188.56927,497
316.26892,170.78198,498
292.59824,163.0845,499
318.96057,198.48526,500
340.2246,193.03168,501
291.33157,138.9866,502
287.9297,159.41101,503
285.9131,147.85184,504
331.61133,162.72417,505
292.85156,155.38048,506
301.46484,187.7221,507
277.53906,120.29697,508
273.52988,125.94423,509
303.99817,190.30261,510
317.61475,182.63597,511
302.7699,158.85109,512
279.93164,122.44298,513
321.65222,167.82932,514
305.37997,177.20729,515
264.06506,142.89355,516
302.7699,169.13272,517
276.34277,138.57861,518
319.73544,205.04541,519
291.33157,179.7228,520
335.62097,167.89587,521
298.93152,185.3655,522
318.96057,143.58763,523
300.19818,135.17691,524
320.91418,158.45851,525
273.9502,133.57253,526
289.16016,199.24477,527
320.3064,177.54694,528
312.23145,191.996,529
323.69266,166.92848,530
330.63885,170.656,531
292.85156,138.42636,532
320.3064,171.57028,533
296.3982,138.47775,534
323.65057,202.86592,535
312.23145,156.39392,536
275.8578,162.21234,537
310.88562,183.58063,538
292.59824,147.2651,539
281.67758,152.70476,540
309.0648,176.78857,541
309.2951,184.08041,542
281.12793,174.19464,543
297.66486,120.1725,544
323.65057,194.37689,545
310.33145,186.49161,546
328.74023,201.84116,547
296.3982,203.282,548
268.5984,151.92072,549
302.7699,121.10908,550
332.0281,160.09435,551
298.93152,179.38324,552
313.57727,208.5595,553
287.9297,166.88168,554
310.60013,147.95984,555
322.30344,171.5246,556
335.91797,182.85059,557
275.8578,163.44376,558
302.7315,168.256,559
283.5205,151.7119,560
269.7317,150.38692,561
318.96057,178.17323,562
277.53906,147.95345,563
333.04688,183.03082,564
285.46875,151.33266,565
268.5984,146.69028,566
320.91418,192.5487,567
291.6211,152.03137,568
309.2951,211.8997,569
306.68503,156.45279,570
289.16016,148.6781,571
269.7317,157.675,572
320.91418,173.93803,573
284.7168,145.0818,574
273.52988,127.918816,575
264.06506,121.477585,576
267.46506,153.4308,577
378.02734,216.86844,578
298.85477,170.27681,579
366.06445,277.3165,580
326.47113,203.70241,581
301.46484,167.30016,582
335.91797,157.41345,583
330.63885,162.76047,584
268.5984,126.69455,585
292.59824,179.0296,586
270.36133,126.62594,587
330.63885,160.16666,588
309.5398,196.60106,589
309.2951,167.1168,590
260.60696,137.21376,591
290.39062,137.86742,592
266.33173,154.60251,593
300.19818,138.76132,594
300.19818,185.52556,595
284.7168,161.22853,596
310.88562,213.63889,597
301.46484,162.4882,598
301.46484,167.4483,599
300.1598,156.71384,600
323.65057,161.53033,601
309.0648,177.09686,602
273.52988,166.10771,603
292.85156,160.41463,604
294.93964,132.47307,605
312.23145,168.52397,606
293.63458,183.46875,607
291.6211,149.92543,608
296.3982,157.29028,609
285.46875,139.29863,610
298.85477,169.61539,611
317.61475,198.16106,612
298.93152,168.72734,613
300.19818,174.61987,614
352.22168,153.15352,615
285.9131,184.44202,616
284.23828,125.74885,617
356.01562,193.8573,618
284.23828,142.72377,619
313.968,146.02216,620
300.11902,179.67145,621
343.0462,174.65584,622
331.61133,163.10365,623
310.88562,146.73198,624
285.46875,144.15927,625
296.24466,155.37134,626
293.8649,149.35838,627
306.5315,204.35257,628
322.34552,178.07974,629
301.46484,184.49792,630
285.9131,149.92801,631
329.24963,206.8427,632
260.72635,142.64053,633
311.90518,139.86502,634
297.66486,177.68025,635
298.93152,147.32503,636
309.2951,137.6062,637
293.8649,154.38698,638
287.9297,145.50781,639
304.07492,142.61435,640
340.2246,209.31927,641
284.7168,149.2823,642
276.53165,154.21571,643
301.46484,149.91592,644
298.85477,178.33778,645
281.06497,138.22867,646
284.7168,108.03755,647
283.5205,132.49678,648
340.2246,158.56784,649
273.8582,155.27422,650
292.59824,142.3682,651
284.7168,144.36984,652
380.97205,151.88387,653
313.57727,164.7798,654
301.46484,203.38577,655
307.99005,167.34087,656
278.73535,139.36125,657
283.5205,144.40453,658
314.9231,178.36119,659
322.99805,177.48027,660
341.66016,242.58618,661
297.77344,177.23022,662
294.08203,160.97052,663
312.86478,192.40295,664
302.7699,166.45306,665
310.60013,153.18555,666
305.37997,139.19366,667
303.92578,166.93611,668
277.53906,172.69708,669
301.46484,185.15974,670
262.93173,155.21194,671
285.46875,134.26213,672
329.24963,138.17166,673
261.71124,110.93348,674
298.93152,164.13867,675
340.2246,188.82217,676
334.80658,176.2856,677
281.67758,119.56506,678
354.58008,212.93085,679
324.34387,168.5186,680
301.46484,182.09904,681
313.968,168.11513,682
276.34277,156.39392,683
294.2871,144.80534,684
296.6797,151.50896,685
318.96057,159.27998,686
302.7699,182.55676,687
322.30344,184.30338,688
305.50232,208.03777,689
283.5205,188.0991,690
278.73535,147.61935,691
300.19818,135.57986,692
293.8649,169.2211,693
294.08203,168.68645,694
323.69266,177.01761,695
340.2246,143.84868,696
292.59824,159.70456,697
307.99005,161.182,698
291.6211,149.57156,699
332.0281,174.40344,700
294.2871,146.22157,701
302.7315,155.09721,702
286.69922,145.20573,703
334.48242,213.51076,704
318.96057,186.74992,705
305.37997,156.3112,706
284.7168,140.38951,707
286.69922,131.0088,708
312.57877,154.29936,709
305.37997,181.28352,710
284.0055,133.00723,711
311.90518,135.37262,712
320.3064,201.4067,713
290.39062,138.63403,714
283.5205,142.6095,715
320.3064,162.19287,716
301.46484,160.12093,717
302.7699,155.27266,718
305.37997,190.35736,719
289.16016,165.22221,720
291.6211,140.81209,721
298.93152,152.42072,722
318.6914,175.32489,723
318.96057,169.16225,724
297.42737,140.11456,725
318.96057,213.1296,726
293.8649,153.67868,727
277.53906,152.41306,728
269.7317,151.03462,729
306.84814,147.52602,730
330.63885,187.68613,731
277.53906,146.55396,732
326.47113,190.65501,733
323.65057,163.26077,734
298.7732,170.21364,735
293.8649,196.0991,736
313.57727,195.0611,737
364.52637,235.4578,738
343.0462,196.0489,739
290.0649,146.34709,740
306.84814,149.86475,741
331.61133,182.76604,742
305.15625,177.52896,743
312.23145,185.23561,744
