@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.14974731,177
0.11558741,178
0.09979434,179
0.13194023,180
0.12539792,181
0.10512051,182
0.105623476,183
0.121362366,184
0.12958166,185
0.17545065,186
0.14817882,187
0.10723176,188
0.11178017,189
0.10765803,190
0.11486702,191
0.11706986,192
0.11628035,193
0.1279382,194
0.16461802,195
0.17377508,196
0.15225665,197
0.14780141,198
0.14460604,199
0.13069612,200
0.12041575,201
0.11308911,202
0.09982956,203
0.10546902,204
0.13425663,205
0.11726977,206
0.11055208,207
0.10281267,208
0.1073836,209
0.107212365,210
0.10728912,211
0.08762093,212
0.08836726,213
0.09408054,214
0.11276615,215
0.12312912,216
0.109338924,217
0.108352676,218
0.107055336,219
0.10128429,220
0.11135932,221
0.11957718,222
0.13161017,223
0.13438082,224
0.11959404,225
0.12588063,226
0.125483,227
0.12081586,228
0.121349424,229
0.13557713,230
0.13511156,231
0.1243738,232
0.117692515,233
0.11994599,234
0.14127186,235
0.12093138,236
0.1288723,237
0.13340153,238
0.13332401,239
0.14960839,240
0.12763372,241
0.1051346,242
0.12414212,243
0.13173869,244
0.12680946,245
0.13631861,246
0.12436892,247
0.1252626,248
0.12790725,249
0.14454223,250
0.15328388,251
0.15030034,252
0.16236876,253
0.17219676,254
0.15666911,255
0.13721979,256
0.1488506,257
0.20981239,258
0.19517553,259
0.23281235,260
0.20313896,261
0.19641116,262
0.18005219,263
0.13255419,264
0.13983412,265
0.12596692,266
0.13988909,267
0.12583332,268
0.119190104,269
0.12287364,270
0.1264632,271
0.15257913,272
0.16791727,273
0.15614836,274
0.1672779,275
0.1539692,276
0.1660473,277
0.123289816,278
0.11683224,279
0.117184445,280
0.13857499,281
0.12433694,282
0.12739395,283
0.14405969,284
0.15952326,285
0.14526899,286
0.16028936,287
0.14254586,288
0.14010093,289
0.15350181,290
0.14161462,291
0.13227296,292
0.11212933,293
0.10386368,294
0.110664524,295
0.122863606,296
0.1398359,297
0.14437936,298
0.14084603,299
0.1438899,300
0.13743182,301
0.13621064,302
0.12581138,303
0.12061563,304
0.15792969,305
0.15218703,306
0.16550212,307
0.15743391,308
0.1881619,309
0.17291027,310
0.15594275,311
0.13696848,312
0.13568157,313
0.14897844,314
0.13710119,315
0.13053319,316
0.14235403,317
0.1341482,318
0.12498564,319
0.102904,320
0.09877033,321
0.09612422,322
0.100258194,323
0.13055176,324
0.15059647,325
0.1302502,326
0.12291146,327
0.09004397,328
0.06663963,329
0.05217766,330
0.04531506,331
0.15043034,332
0.12829983,333
0.13886288,334
0.113323815,335
0.07820454,336
0.03350528,337
0.017180504,338
0.11906447,339
0.14747258,340
0.10837781,341
0.063776605,342
0.02867845,343
0.015061323,344
0.09380709,345
0.15917557,346
0.14408733,347
0.109529905,348
0.06320784,349
0.02712836,350
0.01368046,351
0.015803037,352
0.14835446,353
0.15704018,354
0.109310314,355
0.05952162,356
0.024257444,357
0.017127898,358
0.08472749,359
0.13842191,360
0.1396861,361
0.11477454,362
0.080107115,363
0.034332164,364
0.02542225,365
0.06456016,366
0.24966761,367
0.22687364,368
0.23828775,369
0.23266397,370
0.25721827,371
0.2284349,372
0.24037139,373
0.22694707,374
0.21146816,375
0.21357803,376
0.21880175,377
0.2299744,378
0.23923033,379
0.22662959,380
0.20437184,381
0.2113228,382
0.206098,383
0.2095175,384
0.20728926,385
0.21677321,386
0.21680713,387
0.21011533,388
0.20951425,389
0.20573504,390
0.18804166,391
0.17316565,392
0.16966717,393
0.21003605,394
0.2266282,395
0.20390278,396
0.20925966,397
0.18947656,398
0.18266273,399
0.18782577,400
0.18164894,401
0.19148394,402
0.16525425,403
0.1568248,404
0.16833559,405
0.18121853,406
0.15419658,407
0.16830343,408
0.21095856,409
0.21162395,410
0.20391347,411
0.2260209,412
0.21472554,413
0.22961085,414
0.19790345,415
0.18904504,416
0.22020593,417
0.17036359,418
0.18126756,419
0.16234763,420
0.17238379,421
0.16404532,422
0.18749169,423
0.1631839,424
0.17615022,425
0.18708315,426
0.188035,427
0.16474575,428
0.18414663,429
0.17928247,430
0.16244674,431
0.14518325,432
0.14762168,433
0.15348639,434
0.16951805,435
0.2089953,436
0.23519205,437
0.27431354,438
0.25229,439
0.26379758,440
0.2704816,441
0.23600464,442
0.19208564,443
0.1730158,444
0.17796214,445
0.17269589,446
0.16986951,447
0.17870839,448
0.17220671,449
0.16444501,450
0.14569013,451
0.14745903,452
0.16557188,453
0.20323421,454
0.17402254,455
0.17514674,456
0.1795517,457
0.16103922,458
0.17628805,459
0.1668753,460
0.15662406,461
0.17797188,462
0.18769726,463
0.19398369,464
0.20557857,465
0.20007591,466
0.16921256,467
0.16146761,468
0.17467393,469
0.18003622,470
0.1839703,471
0.17890155,472
0.16029997,473
0.1539624,474
0.15185545,475
0.1623483,476
0.19089893,477
0.17280643,478
0.17700824,479
0.18622902,480
0.19950113,481
0.19037272,482
0.19966301,483
0.17001885,484
0.17502351,485
0.19142798,486
0.20723437,487
0.21916303,488
0.2290487,489
0.19339935,490
0.17432593,491
0.18666933,492
0.17816657,493
0.20004483,494
0.19234976,495
0.20020162,496
0.17496122,497
0.18501277,498
0.17217284,499
0.16897143,500
0.16009375,501
0.15797192,502
0.165473,503
0.1556452,504
0.18964793,505
0.1636591,506
0.16621388,507
0.15800565,508
0.16847707,509
0.17160235,510
0.18938763,511
0.15033898,512
0.14111404,513
0.18164833,514
0.21001233,515
0.14124352,516
0.14301068,517
0.20888601,518
0.2019403,519
0.18150367,520
0.18036807,521
0.18195689,522
0.17956291,523
0.19086546,524
0.1836442,525
0.18289484,526
0.1625595,527
0.16397934,528
0.15390876,529
0.16267148,530
0.15840465,531
0.17617305,532
0.1625584,533
0.18081178,534
0.18366113,535
0.16805428,536
0.16488807,537
0.1807853,538
0.17991301,539
0.15357147,540
0.12896696,541
0.14903383,542
0.14223981,543
0.13769805,544
0.1504301,545
0.17849424,546
0.19440863,547
0.18021075,548
0.1818051,549
0.18104896,550
0.1845078,551
0.17866614,552
0.18469994,553
0.19053128,554
0.16813318,555
0.17781505,556
0.17114249,557
0.19282597,558
0.15886629,559
0.18241554,560
0.1491834,561
0.15420906,562
0.1688119,563
0.1867038,564
0.18237643,565
0.17015481,566
0.1800938,567
0.16456763,568
0.1538941,569
0.16674994,570
0.16337804,571
0.147948,572
0.18646939,573
0.18055587,574
0.18091822,575
0.17984925,576
0.17851241,577
0.17397721,578
0.16779517,579
0.17806545,580
0.17095561,581
0.17066865,582
0.1669907,583
0.15884511,584
0.1685278,585
0.15344183,586
0.18009539,587
0.16901016,588
0.18435284,589
0.1997763,590
0.17360486,591
0.17913304,592
0.1932498,593
0.18630648,594
0.18020612,595
0.1944763,596
0.19951032,597
0.2150188,598
0.21508917,599
0.20749876,600
0.17429467,601
0.18734819,602
0.18238431,603
0.20345548,604
0.1823359,605
0.18442802,606
0.20007968,607
0.1645035,608
0.17425436,609
0.15760285,610
0.16103669,611
0.14257693,612
0.16094339,613
0.17043048,614
0.16613057,615
0.16463454,616
0.18416323,617
0.16051397,618
0.16000704,619
0.1594665,620
0.18318707,621
0.17594525,622
0.1396224,623
0.14936438,624
0.15356137,625
0.16408417,626
0.1563078,627
0.16501148,628
0.17903055,629
0.17808966,630
0.18931107,631
0.21202065,632
0.19387905,633
0.21989426,634
0.19919895,635
0.18898578,636
0.19861315,637
0.17887028,638
0.16734438,639
0.16529542,640
0.1589369,641
0.1735694,642
0.15489241,643
0.15200673,644
0.16847554,645
0.16249985,646
0.16377705,647
0.18104984,648
0.18311171,649
0.1739229,650
0.15904748,651
0.13151208,652
0.1353905,653
0.122769184,654
0.1467891,655
0.21431777,656
0.23057772,657
0.29008657,658
0.26073605,659
0.24102394,660
0.22448605,661
0.23470442,662
0.18330145,663
0.17757928,664
0.17327689,665
0.1460217,666
0.14841181,667
0.17073083,668
0.17119369,669
0.17562087,670
0.1537203,671
0.15989545,672
0.17936878,673
0.16415948,674
0.17455389,675
0.17549813,676
0.18439277,677
0.1459754,678
0.13579406,679
0.14290716,680
0.14577399,681
0.16116151,682
0.17822394,683
0.20516193,684
0.20603223,685
0.1864983,686
0.18193881,687
0.17351408,688
0.1813936,689
0.17050521,690
0.16946214,691
0.16955522,692
0.16465183,693
0.1541668,694
0.14565548,695
0.1471164,696
0.17714897,697
0.1959892,698
0.18811342,699
0.17406285,700
0.19608104,701
0.21215631,702
0.17727953,703
0.17859046,704
0.16230896,705
0.17735696,706
0.1891282,707
0.2104177,708
0.20018072,709
0.15605012,710
0.17231613,711
0.20061629,712
0.20057607,713
0.1981508,714
0.19404142,715
0.20143077,716
0.17845277,717
0.20036699,718
0.17740667,719
0.16751972,720
0.16112633,721
0.17318529,722
0.18560539,723
0.18346186,724
0.19775419,725
0.1909155,726
0.18689722,727
0.1708782,728
0.17234473,729
0.20962246,730
0.2005042,731
0.1512041,732
0.16632496,733
0.17166713,734
0.17607874,735
0.13486573,736
0.18241747,737
0.21296951,738
0.20542102,739
0.19847709,740
0.22766969,741
0.19469225,742
0.19366042,743
0.19928484,744
0.20773993,745
0.15895411,746
0.1462744,747
0.14726047,748
0.17439988,749
0.14310229,750
0.15096511,751
0.19243985,752
0.17999864,753
0.17474473,754
0.16405898,755
0.15714331,756
0.15543391,757
0.15556706,758
0.1537339,759
0.12326764,760
0.13313684,761
0.1348319,762
0.13488123,763
0.1378696,764
0.15123239,765
0.114148095,766
0.1030067,767
0.09206284,768
0.105514646,769
0.1126415,770
0.1281727,771
0.17832054,772
0.1807133,773
0.19712728,774
0.18164457,775
0.19526438,776
0.18544047,777
0.1976976,778
0.16482617,779
0.15609884,780
0.13950619,781
0.11633001,782
0.110149875,783
0.12134172,784
0.11169201,785
0.1741533,786
0.22801445,787
0.20279035,788
0.24027394,789
0.21279116,790
0.19418105,791
0.17753686,792
0.17697258,793
0.169661,794
0.1248389,795
0.09184989,796
0.08802326,797
0.084029555,798
0.102589585,799
0.23394585,800
0.18859148,801
0.18897335,802
0.2005639,803
0.20014644,804
0.17706174,805
0.19437742,806
0.20277257,807
0.17702965,808
0.17937158,809
0.18465914,810
