@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1.8536638,401
1.8618959,402
1.8921278,403
1.7246976,404
1.6526319,405
1.7678775,406
1.9570963,407
1.8789225,408
1.923015,409
1.8303949,410
1.8096672,411
1.8795015,412
1.8915443,413
2.0353346,414
1.9184116,415
1.8784939,416
1.9080542,417
1.8716333,418
1.9916437,419
1.8889037,420
1.8480809,421
1.9045801,422
1.961379,423
1.8928893,424
1.9863728,425
1.9897648,426
1.95515,427
1.9560871,428
1.9431802,429
2.0218086,430
1.9211695,431
1.9085214,432
1.9253124,433
1.9531957,434
1.9338183,435
1.8438851,436
1.5794153,437
1.4620878,438
1.5091194,439
1.6657913,440
1.6122526,441
1.6246618,442
1.81467,443
1.845286,444
1.859705,445
1.8467562,446
1.9384034,447
1.9561574,448
1.8710911,449
1.886828,450
1.8966321,451
1.8861599,452
1.9373657,453
1.9438163,454
1.9147907,455
1.9097929,456
1.8954536,457
1.9394045,458
2.0054362,459
1.9152251,460
1.743065,461
1.4525555,462
1.509319,463
1.5457301,464
1.5871898,465
1.7265733,466
1.6000261,467
1.6541868,468
1.7757403,469
1.7441416,470
1.8127705,471
1.663313,472
1.861101,473
1.7694652,474
1.8339432,475
1.843178,476
1.9162755,477
1.9248242,478
1.7938056,479
1.7341598,480
1.7900398,481
1.7247205,482
1.7492704,483
1.5769045,484
1.7017515,485
1.6941528,486
1.496585,487
1.204171,488
1.08453,489
1.2689079,490
1.7041602,491
1.802595,492
1.7909782,493
1.7829533,494
1.7964978,495
1.7622375,496
1.7709177,497
1.7938914,498
1.6891571,499
1.7164993,500
1.7066143,501
1.780768,502
1.8160032,503
1.8643662,504
1.9883031,505
1.9579577,506
1.8232272,507
1.8863806,508
1.863397,509
1.8838774,510
1.9423494,511
1.8602022,512
1.8168064,513
1.7625973,514
1.5891534,515
1.7735987,516
1.8587815,517
1.7441276,518
1.8525652,519
1.7513814,520
1.8609143,521
1.8769059,522
1.903628,523
1.8487347,524
1.8717031,525
1.8038505,526
1.7317708,527
1.7979621,528
1.8629506,529
1.8825102,530
1.9597023,531
1.8839688,532
1.8673407,533
1.9420203,534
1.8815222,535
1.8924254,536
1.9239581,537
1.8444235,538
1.8846335,539
1.8720881,540
1.9251457,541
1.9744139,542
1.942111,543
1.9492719,544
2.0009527,545
1.876311,546
1.7677703,547
1.8264375,548
1.7977988,549
1.8105712,550
1.7790253,551
1.867935,552
1.844404,553
1.8951621,554
1.8741158,555
1.9257092,556
1.9105347,557
2.0119512,558
2.0103378,559
1.9637343,560
1.9181376,561
1.7700057,562
1.8409022,563
1.748351,564
1.8602915,565
1.8255471,566
1.9238315,567
1.9252993,568
1.9780715,569
1.9513724,570
1.9101024,571
1.9018965,572
1.8345696,573
1.810704,574
1.7163339,575
1.613707,576
1.6442001,577
1.6259009,578
1.727375,579
1.6750226,580
1.6894469,581
1.6003082,582
1.7243732,583
1.7711455,584
1.7061739,585
1.8038613,586
1.9294972,587
1.910043,588
1.784999,589
1.7911547,590
1.7346587,591
1.6762096,592
1.7382215,593
1.5258502,594
1.6238725,595
1.5840085,596
1.4159781,597
1.2096984,598
1.2754431,599
1.333841,600
1.7081674,601
1.591664,602
1.7394195,603
1.8274941,604
1.8184041,605
1.7050341,606
1.8724027,607
1.7001451,608
1.7186886,609
1.6720948,610
1.6809238,611
1.7241917,612
1.7870963,613
1.8053713,614
1.8845696,615
1.9850761,616
2.0290096,617
1.9139066,618
1.8328466,619
1.8036003,620
1.9191536,621
1.9782925,622
1.9057264,623
1.7898989,624
1.7828181,625
1.7594011,626
1.9054207,627
1.8552735,628
1.7747539,629
1.7889682,630
1.7629415,631
1.8129914,632
1.9142764,633
1.8791312,634
1.9008876,635
1.8916761,636
1.948054,637
1.8232348,638
1.8812431,639
1.8717834,640
1.8470461,641
1.8384826,642
2.0110662,643
1.8528568,644
1.8902582,645
1.854057,646
1.9489245,647
1.9193461,648
1.8862662,649
1.8727766,650
1.9375105,651
1.9153646,652
1.8843697,653
1.8557355,654
1.9218885,655
1.8254983,656
1.5480764,657
1.4318055,658
1.5558214,659
1.5710196,660
1.58573,661
1.7023346,662
1.908384,663
1.9266362,664
1.8862375,665
1.8732393,666
1.9608303,667
1.9586796,668
1.9556116,669
1.9189425,670
1.8986655,671
1.9732612,672
2.01742,673
1.996749,674
2.0073402,675
2.1573977,676
1.9579015,677
1.9574023,678
2.0808632,679
2.0439897,680
1.8765712,681
1.5212984,682
1.5032401,683
1.4985873,684
1.416816,685
1.5282955,686
1.5604913,687
1.7170403,688
1.7029185,689
1.7424262,690
1.7898755,691
1.8582957,692
1.7797091,693
1.792549,694
1.793882,695
1.8007836,696
1.8757391,697
1.8930504,698
1.7080302,699
1.6884453,700
1.756271,701
1.7901158,702
1.735205,703
1.7568207,704
1.6954893,705
1.5464263,706
1.3911895,707
1.1527656,708
1.1095657,709
1.4667315,710
1.7861873,711
1.7956166,712
1.753069,713
1.6561722,714
1.6305887,715
1.7834938,716
1.7126179,717
1.7682723,718
1.8260359,719
1.7340903,720
1.7567892,721
1.8685013,722
1.861566,723
1.8563364,724
1.885799,725
1.7887789,726
1.8555204,727
1.7861567,728
1.885448,729
1.9362162,730
1.9628317,731
1.7753782,732
1.653579,733
1.5396386,734
1.7308946,735
1.7210274,736
1.8062596,737
1.7014759,738
1.7489401,739
1.8000938,740
1.8895705,741
1.8538755,742
1.8660346,743
1.8883557,744
1.9784471,745
1.9718447,746
1.7426462,747
1.7626748,748
1.9802316,749
1.7893751,750
1.8118008,751
1.8797052,752
1.8391203,753
1.7339544,754
1.8530434,755
1.9298993,756
1.9740286,757
1.9060833,758
1.8767662,759
1.8070062,760
1.7521358,761
1.8060828,762
1.7593488,763
1.8250802,764
2.0850923,765
2.0870085,766
2.1113563,767
2.1074104,768
2.1618283,769
2.1059144,770
2.1373324,771
1.948748,772
1.7943559,773
1.849198,774
1.7771772,775
1.7816842,776
1.7932765,777
1.6938262,778
1.8846135,779
2.095457,780
2.202814,781
2.307266,782
2.157979,783
2.1371403,784
2.054877,785
2.0434847,786
1.8901008,787
1.6805707,788
1.758368,789
1.6600109,790
1.6411525,791
1.601257,792
1.6311753,793
1.8007004,794
1.9109964,795
1.8670412,796
1.8760439,797
1.8498935,798
1.9047495,799
1.9440031,800
1.5876868,801
1.6729307,802
1.8256699,803
1.7767797,804
1.757579,805
1.6980778,806
1.7265444,807
1.6441784,808
1.5172577,809
1.4450078,810
1.5650928,811
1.477476,812
1.6313901,813
1.5847025,814
1.5455014,815
1.4760041,816
1.5676113,817
1.7215829,818
1.7537705,819
1.8622886,820
1.7934368,821
1.780274,822
1.7468615,823
1.8670956,824
1.7943512,825
1.7808248,826
1.7708085,827
1.859583,828
1.7792755,829
1.7780573,830
1.8471177,831
1.9362056,832
1.8962486,833
1.9204763,834
1.8924066,835
1.8612669,836
1.9796563,837
1.8236233,838
1.9066848,839
1.9280617,840
1.824729,841
1.7979708,842
1.8443851,843
1.865738,844
1.9509239,845
2.018842,846
2.0115023,847
1.948475,848
1.8305287,849
1.7890424,850
1.747973,851
1.8227462,852
1.7963467,853
1.7987287,854
1.8807169,855
1.849617,856
1.7505891,857
1.8627002,858
1.9126664,859
1.8489579,860
1.8858336,861
1.9128543,862
1.8667135,863
1.9228051,864
1.856672,865
2.0205927,866
1.9063792,867
1.819593,868
1.8158159,869
1.8322413,870
1.8059132,871
1.8564767,872
1.9695058,873
2.0637062,874
1.9863689,875
1.9162803,876
1.7908081,877
1.7572985,878
1.6152557,879
1.7151947,880
1.7713705,881
1.8571708,882
1.7457492,883
1.8040342,884
1.8412833,885
1.8309602,886
1.8526872,887
1.8465624,888
1.7283391,889
1.7816845,890
1.6850265,891
1.6436,892
1.5874641,893
1.5710793,894
1.6472738,895
1.7794502,896
1.8078436,897
1.6543642,898
1.5927019,899
1.5521008,900
1.5104896,901
1.7426715,902
1.77458,903
1.6810933,904
1.5725368,905
1.4945064,906
1.5670636,907
1.6317164,908
1.679754,909
1.7554729,910
1.6545448,911
1.7283435,912
1.6484326,913
1.6963382,914
1.6252393,915
1.8554844,916
1.7215668,917
1.5190654,918
1.5711377,919
1.5541235,920
1.5789844,921
1.6351575,922
1.6226068,923
1.452014,924
1.4426543,925
1.4632941,926
1.4405946,927
1.5667481,928
1.7236428,929
1.7069466,930
1.7913902,931
1.7715836,932
1.7307017,933
1.7630352,934
1.7379996,935
1.7191935,936
1.7513487,937
1.6570691,938
1.7409577,939
1.6179252,940
1.6245515,941
1.7028468,942
1.844991,943
1.9141827,944
1.7317288,945
1.7609869,946
1.7762969,947
1.8523797,948
1.8162509,949
1.8943313,950
1.836978,951
1.73415,952
1.77677,953
1.8627543,954
1.8562964,955
2.0274885,956
1.9794749,957
