@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude of maximum in the chromagram' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.19328761,386
0.18989302,387
0.15032059,388
0.17992054,389
0.1508694,390
0.15377186,391
0.16302541,392
0.33020264,393
0.2961499,394
0.31717658,395
0.4138449,396
0.17006555,397
0.21207175,398
0.18270402,399
0.21473144,400
0.23594819,401
0.2924229,402
0.48419106,403
0.24054416,404
0.27132237,405
0.20835783,406
0.23589647,407
0.27081475,408
0.42328212,409
0.26463372,410
0.26197267,411
0.12860541,412
0.1424593,413
0.25650975,414
0.27759936,415
0.14980452,416
0.14342883,417
0.16211237,418
0.21436347,419
0.23221014,420
0.18893798,421
0.20863332,422
0.33289757,423
0.4335557,424
0.17133772,425
0.1386211,426
0.2484319,427
0.26779026,428
0.16590269,429
0.28006145,430
0.31719074,431
0.2757435,432
0.14226776,433
0.18730348,434
0.1920145,435
0.1998469,436
0.30626115,437
0.17590475,438
0.27343765,439
0.15519522,440
0.17803292,441
0.18151991,442
0.2811946,443
0.22230071,444
0.18303747,445
0.1772139,446
0.26483935,447
0.25085446,448
0.18745287,449
0.20003788,450
0.52286273,451
0.31052554,452
0.13192265,453
0.16288751,454
0.12643822,455
0.099643655,456
0.26350808,457
0.36966512,458
0.19927476,459
0.24883382,460
0.2838805,461
0.42890486,462
0.24087265,463
0.29058185,464
0.31531093,465
0.16353647,466
0.2308155,467
0.1689386,468
0.18700092,469
0.17538308,470
0.23223916,471
0.13548546,472
0.27182135,473
0.24696098,474
0.26233387,475
0.27390853,476
0.42850813,477
0.43061906,478
0.28604078,479
0.2880952,480
0.153373,481
0.29505435,482
0.18009117,483
0.14065354,484
0.16365528,485
0.18981501,486
0.13581641,487
0.0883544,488
0.12831585,489
0.15943564,490
0.14660437,491
0.33537558,492
0.30415288,493
0.1922358,494
0.1877729,495
0.1813739,496
0.13146994,497
0.18151827,498
0.2719767,499
0.14009175,500
0.16451053,501
0.23352414,502
0.2460458,503
0.34946084,504
0.14641087,505
0.47078443,506
0.21263812,507
0.4027101,508
0.11284465,509
0.18849769,510
0.14735736,511
0.17213555,512
0.43303856,513
0.3713041,514
0.24838442,515
0.29681128,516
0.179437,517
0.16735865,518
0.4761738,519
0.28917247,520
0.2507488,521
0.25065804,522
0.14182903,523
0.21229242,524
0.24079147,525
0.16213167,526
0.13368344,527
0.17099856,528
0.15111513,529
0.16277452,530
0.15025842,531
0.29092166,532
0.44298074,533
0.40063748,534
0.31314793,535
0.24579081,536
0.18993236,537
0.18724255,538
0.2926914,539
0.33406335,540
0.2699671,541
0.24187827,542
0.28278306,543
0.18396395,544
0.227929,545
0.28339925,546
0.31555375,547
0.159958,548
0.23011954,549
0.26439115,550
0.19984055,551
0.19495526,552
0.17522576,553
0.15161803,554
0.14031921,555
0.21514459,556
0.20557004,557
0.21045811,558
0.19749923,559
0.14544044,560
0.49166855,561
0.3051858,562
0.31467175,563
0.26395145,564
0.19787839,565
0.178173,566
0.18935424,567
0.4282406,568
0.20984472,569
0.26396537,570
0.31050703,571
0.14871654,572
0.19290657,573
0.3125681,574
0.28325367,575
0.2276854,576
0.14185333,577
0.2593306,578
0.16533835,579
0.18434256,580
0.19233496,581
0.15490764,582
0.11173703,583
0.2127194,584
0.17423311,585
0.12603545,586
0.2468108,587
0.31924585,588
0.2174856,589
0.22364388,590
0.32245702,591
0.26869965,592
0.26565543,593
0.15175943,594
0.21434416,595
0.20649946,596
0.1874185,597
0.12270401,598
0.10549642,599
0.21774486,600
0.35467017,601
0.2622201,602
0.18796238,603
0.1805252,604
0.18795769,605
0.18196927,606
0.13933475,607
0.17720659,608
0.17041188,609
0.1684455,610
0.16615564,611
0.1859948,612
0.20102242,613
0.12244728,614
0.2909141,615
0.37912056,616
0.32790402,617
0.19259745,618
0.2544938,619
0.21183008,620
0.17359449,621
0.5050972,622
0.31216237,623
0.40605918,624
0.17100428,625
0.08774012,626
0.16529018,627
0.32087177,628
0.31452706,629
0.1819948,630
0.15177073,631
0.16594002,632
0.17706554,633
0.22084771,634
0.2094883,635
0.10757525,636
0.121796526,637
0.18805133,638
0.17816181,639
0.20275648,640
0.12768675,641
0.16930483,642
0.52459574,643
0.2798354,644
0.42044368,645
0.22464585,646
0.22950697,647
0.2943234,648
0.18768433,649
0.43998057,650
0.25228757,651
0.3124476,652
0.20290194,653
0.1924743,654
0.21376422,655
0.33644533,656
0.3690168,657
0.16460468,658
0.14642608,659
0.16824763,660
0.11634391,661
0.20953742,662
0.11085292,663
0.20562032,664
0.17380929,665
0.24451593,666
0.33438495,667
0.364938,668
0.1995987,669
0.25887522,670
0.37934074,671
0.282247,672
0.31945884,673
0.1953811,674
0.2034848,675
0.21220219,676
0.21095462,677
0.39201012,678
0.18465869,679
0.26904598,680
0.12549831,681
0.1840128,682
0.2637486,683
0.338125,684
0.28529865,685
0.19761558,686
0.1481848,687
0.17679527,688
0.16469711,689
0.110012196,690
0.08239297,691
0.24276264,692
0.24928916,693
0.21987994,694
0.2970924,695
0.27855402,696
0.20832562,697
0.29984805,698
0.2326083,699
0.3010936,700
0.1920455,701
0.2649371,702
0.21697512,703
0.18524523,704
0.32810238,705
0.3153383,706
0.32427967,707
0.17110975,708
0.14552943,709
0.22996768,710
0.32376662,711
0.18431675,712
0.25983003,713
0.14795999,714
0.1793224,715
0.19602297,716
0.19144358,717
0.23746912,718
0.17227465,719
0.28441805,720
0.12695031,721
0.2516782,722
0.18145862,723
0.3286072,724
0.14097449,725
0.16705064,726
0.11501518,727
0.18696077,728
0.17134291,729
0.17586806,730
0.1457633,731
0.33814988,732
0.21123916,733
0.24459279,734
0.229097,735
0.43573862,736
0.18769133,737
0.40796,738
0.21813235,739
0.28471926,740
0.1724927,741
0.14563856,742
0.13123435,743
0.18671787,744
0.1631401,745
0.43749613,746
0.33416292,747
0.47674274,748
0.19855218,749
0.2065544,750
0.16722572,751
0.339467,752
0.30742264,753
0.2656566,754
0.16466565,755
0.17916319,756
0.16706114,757
0.27749667,758
0.28488472,759
0.4592359,760
0.45907757,761
0.2794485,762
0.19227707,763
0.22653192,764
0.14028414,765
0.15260197,766
0.21207829,767
0.15795179,768
0.17440598,769
0.12907586,770
0.131741,771
0.17790854,772
0.7040727,773
0.25577006,774
0.27806664,775
0.10700758,776
0.14383326,777
0.11156541,778
0.19723423,779
0.24101824,780
