@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 4th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 4th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 4th spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,NaN,NaN,1
NaN,NaN,NaN,2
NaN,NaN,NaN,3
NaN,NaN,NaN,4
NaN,NaN,NaN,5
NaN,NaN,NaN,6
NaN,NaN,NaN,7
NaN,NaN,NaN,8
NaN,NaN,NaN,9
NaN,NaN,NaN,10
NaN,NaN,NaN,11
6.6837606E-6,7062.8906,45.0,12
2.7011993E-4,1205.8594,11.0,13
2.4664612E-4,1981.0547,10.0,14
2.602293E-4,645.9961,3.0,15
2.6734924E-4,645.9961,3.0,16
1.7895784E-4,1205.8594,10.0,17
2.575623E-4,2110.254,15.0,18
2.0374503E-4,1378.125,18.0,19
2.050286E-4,1765.7227,17.0,20
1.965353E-4,2583.9844,20.0,21
2.1945266E-4,1507.3242,51.0,22
2.6757515E-4,3100.7812,23.0,23
1.5481263E-4,2067.1875,21.0,24
2.3764091E-4,2325.586,21.0,25
2.8175415E-4,344.53125,6.0,26
2.2653934E-4,3100.7812,19.0,27
2.2295136E-4,2583.9844,66.0,28
2.3791332E-4,1894.9219,29.0,29
2.4803946E-4,1119.7266,17.0,30
2.5459076E-4,2497.8516,208.0,31
1.6993347E-4,1335.0586,4.0,32
1.766814E-4,2928.5156,16.0,33
2.5341057E-4,1851.8555,28.0,34
1.9504674E-4,602.9297,4.0,35
2.3398372E-4,2540.918,108.0,36
2.257783E-4,2153.3203,18.0,37
2.1200726E-4,559.8633,4.0,38
2.970868E-4,1335.0586,12.0,39
1.9664271E-4,559.8633,4.0,40
1.8174254E-4,3316.1133,205.0,41
1.6549107E-4,2756.25,198.0,42
NaN,NaN,NaN,43
NaN,NaN,NaN,44
NaN,NaN,NaN,45
NaN,NaN,NaN,46
NaN,NaN,NaN,47
NaN,NaN,NaN,48
NaN,NaN,NaN,49
NaN,NaN,NaN,50
NaN,NaN,NaN,51
NaN,NaN,NaN,52
NaN,NaN,NaN,53
