@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral extent' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
775.1953,409
1808.7891,410
2540.918,411
3229.9805,412
3316.1133,413
3143.8477,414
2756.25,415
3186.914,416
3100.7812,417
2670.1172,418
2540.918,419
2497.8516,420
2799.3164,421
2583.9844,422
2325.586,423
861.3281,424
2497.8516,425
2411.7188,426
2196.3867,427
1636.5234,428
2971.582,429
1291.9922,430
1248.9258,431
559.8633,432
2756.25,433
2713.1836,434
2540.918,435
2239.4531,436
1248.9258,437
5211.035,438
2583.9844,439
4220.508,440
4521.9727,441
3789.8438,442
2411.7188,443
2670.1172,444
2411.7188,445
2540.918,446
1894.9219,447
2368.6523,448
2540.918,449
2454.7852,450
129.19922,451
818.2617,452
2583.9844,453
3273.0469,454
2799.3164,455
3014.6484,456
1636.5234,457
818.2617,458
2454.7852,459
1378.125,460
1248.9258,461
129.19922,462
2670.1172,463
516.7969,464
516.7969,465
2583.9844,466
645.9961,467
2583.9844,468
2713.1836,469
2627.0508,470
2627.0508,471
2627.0508,472
2454.7852,473
2497.8516,474
516.7969,475
1421.1914,476
473.73047,477
430.66406,478
645.9961,479
1205.8594,480
3316.1133,481
689.0625,482
3273.0469,483
2024.1211,484
2670.1172,485
3143.8477,486
2799.3164,487
7105.957,488
5943.164,489
2842.3828,490
2239.4531,491
2067.1875,492
1593.457,493
2454.7852,494
2670.1172,495
2627.0508,496
2627.0508,497
2670.1172,498
689.0625,499
2713.1836,500
2842.3828,501
2239.4531,502
2325.586,503
861.3281,504
2411.7188,505
215.33203,506
2368.6523,507
732.1289,508
2627.0508,509
2497.8516,510
2756.25,511
1981.0547,512
301.46484,513
1076.6602,514
2583.9844,515
516.7969,516
2411.7188,517
3186.914,518
344.53125,519
775.1953,520
1550.3906,521
2368.6523,522
3143.8477,523
3014.6484,524
2627.0508,525
2583.9844,526
3100.7812,527
2627.0508,528
2842.3828,529
2670.1172,530
2325.586,531
2196.3867,532
301.46484,533
430.66406,534
2325.586,535
2497.8516,536
2411.7188,537
2540.918,538
1033.5938,539
430.66406,540
430.66406,541
1636.5234,542
559.8633,543
2497.8516,544
1205.8594,545
559.8633,546
861.3281,547
2842.3828,548
2627.0508,549
732.1289,550
3100.7812,551
2756.25,552
3100.7812,553
2971.582,554
2540.918,555
2756.25,556
1722.6562,557
1722.6562,558
1636.5234,559
2670.1172,560
172.26562,561
1248.9258,562
1679.5898,563
1636.5234,564
1722.6562,565
2411.7188,566
1851.8555,567
344.53125,568
2067.1875,569
2411.7188,570
1248.9258,571
2670.1172,572
2454.7852,573
602.9297,574
473.73047,575
1248.9258,576
2799.3164,577
861.3281,578
2885.4492,579
2627.0508,580
2627.0508,581
2885.4492,582
2756.25,583
2110.254,584
2670.1172,585
3057.7148,586
1076.6602,587
818.2617,588
2497.8516,589
2497.8516,590
645.9961,591
1248.9258,592
2497.8516,593
2713.1836,594
1808.7891,595
2756.25,596
2971.582,597
3316.1133,598
4995.703,599
3100.7812,600
344.53125,601
1291.9922,602
2110.254,603
2627.0508,604
2627.0508,605
2583.9844,606
3186.914,607
2497.8516,608
2713.1836,609
2540.918,610
3014.6484,611
775.1953,612
1851.8555,613
2842.3828,614
1076.6602,615
559.8633,616
1679.5898,617
1722.6562,618
1679.5898,619
2540.918,620
2627.0508,621
1205.8594,622
645.9961,623
258.39844,624
2497.8516,625
3229.9805,626
3229.9805,627
645.9961,628
516.7969,629
2497.8516,630
3057.7148,631
3100.7812,632
3316.1133,633
3143.8477,634
3229.9805,635
3488.379,636
3100.7812,637
2627.0508,638
2627.0508,639
2583.9844,640
2756.25,641
2583.9844,642
215.33203,643
818.2617,644
732.1289,645
1636.5234,646
1636.5234,647
1378.125,648
2540.918,649
602.9297,650
1421.1914,651
559.8633,652
1981.0547,653
775.1953,654
2411.7188,655
2368.6523,656
2497.8516,657
5555.5664,658
4521.9727,659
3746.7773,660
5081.836,661
3445.3125,662
2928.5156,663
1722.6562,664
2411.7188,665
1679.5898,666
1119.7266,667
1291.9922,668
2325.586,669
2325.586,670
473.73047,671
1464.2578,672
1378.125,673
2196.3867,674
1722.6562,675
2282.5195,676
1679.5898,677
516.7969,678
2239.4531,679
