@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.04883335,2799.3164,15.0,733
0.06175982,1119.7266,18.0,734
0.047948327,2411.7188,22.0,735
0.047618527,2713.1836,35.0,736
0.05911572,559.8633,4.0,737
0.051153686,2067.1875,15.0,738
0.072892904,3014.6484,10.0,739
0.068814725,2454.7852,10.0,740
0.075397514,775.1953,13.0,741
0.08736903,2497.8516,8.0,742
0.08921794,732.1289,28.0,743
0.09501122,430.66406,7.0,744
0.10585899,2627.0508,17.0,745
0.060891233,430.66406,5.0,746
0.051307924,2627.0508,9.0,747
0.07009968,473.73047,8.0,748
0.0577375,1033.5938,10.0,749
0.05333968,3186.914,14.0,750
0.06782499,2067.1875,18.0,751
0.09904468,559.8633,4.0,752
0.06762904,2411.7188,31.0,753
0.06090874,818.2617,6.0,754
0.11345283,2583.9844,10.0,755
0.06426038,430.66406,27.0,756
0.096759625,2368.6523,23.0,757
0.08366212,732.1289,14.0,758
0.06464217,1248.9258,9.0,759
0.045389898,2411.7188,26.0,760
0.046213206,3402.246,186.0,761
0.06925347,2756.25,18.0,762
0.072260275,645.9961,2.0,763
0.06671848,1550.3906,17.0,764
0.076070026,2713.1836,25.0,765
0.05512593,1464.2578,22.0,766
0.047403634,3229.9805,9.0,767
0.041575823,1248.9258,33.0,768
0.032416716,2196.3867,30.0,769
0.040244862,2497.8516,12.0,770
0.072666936,2325.586,27.0,771
0.05746317,1507.3242,6.0,772
0.0736105,2540.918,34.0,773
0.090541095,689.0625,13.0,774
0.051884055,1894.9219,16.0,775
0.080711864,645.9961,10.0,776
0.07820649,1851.8555,18.0,777
0.06348164,1421.1914,10.0,778
0.06281173,818.2617,14.0,779
0.101861805,2799.3164,23.0,780
0.09402951,1679.5898,16.0,781
0.09003738,1679.5898,10.0,782
0.082260676,732.1289,10.0,783
0.06077066,86.13281,4.0,784
0.074475706,86.13281,4.0,785
0.0635013,258.39844,15.0,786
0.10498876,1248.9258,16.0,787
0.09100371,1679.5898,28.0,788
0.12652098,645.9961,12.0,789
0.11137662,1679.5898,19.0,790
0.105074205,1248.9258,10.0,791
0.08801235,301.46484,2.0,792
0.0962708,645.9961,9.0,793
0.078321755,3359.1797,104.0,794
0.06288464,2540.918,17.0,795
0.053047765,430.66406,2.0,796
0.03883209,3359.1797,29.0,797
0.036100794,1851.8555,18.0,798
0.07261284,43.066406,7.0,799
0.092619516,3057.7148,7.0,800
0.08975128,2627.0508,10.0,801
0.07259994,473.73047,5.0,802
0.07887714,602.9297,11.0,803
0.05101935,1033.5938,15.0,804
0.054806724,2885.4492,16.0,805
0.07505273,602.9297,17.0,806
0.06474769,3229.9805,4.0,807
0.050561137,1679.5898,14.0,808
0.044600744,2756.25,20.0,809
0.051038563,1119.7266,19.0,810
0.06215455,1119.7266,42.0,811
0.04522592,1636.5234,30.0,812
0.054061122,3617.5781,19.0,813
0.047352552,2756.25,19.0,814
0.045223743,1722.6562,20.0,815
0.047598373,3746.7773,45.0,816
0.04959114,2411.7188,25.0,817
0.07727626,2497.8516,9.0,818
0.07213668,2713.1836,15.0,819
0.09190551,1291.9922,20.0,820
0.08271069,990.52734,14.0,821
0.07986369,1033.5938,11.0,822
0.10853506,2928.5156,29.0,823
0.09667348,2411.7188,12.0,824
0.09887867,2627.0508,11.0,825
0.06414176,2239.4531,8.0,826
0.07451913,689.0625,24.0,827
0.07546748,1894.9219,12.0,828
0.07303521,732.1289,31.0,829
0.06017722,732.1289,11.0,830
0.06272676,3402.246,12.0,831
0.08679287,3531.4453,11.0,832
0.08245248,2540.918,13.0,833
0.09933564,2842.3828,20.0,834
0.07872729,1550.3906,26.0,835
0.045626994,1765.7227,27.0,836
0.08035189,344.53125,9.0,837
0.050311692,1421.1914,26.0,838
0.052389164,559.8633,4.0,839
0.08335269,2799.3164,12.0,840
0.060950976,4306.6406,13.0,841
0.06596768,559.8633,5.0,842
0.05419081,1119.7266,20.0,843
0.05365923,1119.7266,16.0,844
0.065813154,430.66406,8.0,845
0.07799936,2540.918,8.0,846
0.08414273,43.066406,1.0,847
0.078463145,645.9961,28.0,848
0.104528554,2928.5156,27.0,849
0.08206486,2971.582,21.0,850
0.072035946,1981.0547,14.0,851
0.069092155,2885.4492,12.0,852
0.06370473,2411.7188,14.0,853
0.074707516,2971.582,13.0,854
0.09707489,3316.1133,22.0,855
0.059054572,3445.3125,12.0,856
0.094554484,2842.3828,12.0,857
0.06435845,2239.4531,38.0,858
0.08453754,430.66406,4.0,859
0.076917015,2627.0508,20.0,860
0.08031057,2110.254,12.0,861
0.08585042,2627.0508,17.0,862
0.058750395,387.59766,3.0,863
0.08615166,2540.918,20.0,864
0.0810633,2971.582,16.0,865
0.0703187,2713.1836,19.0,866
0.07533605,3273.0469,18.0,867
0.05541529,3316.1133,22.0,868
0.07512065,1033.5938,12.0,869
0.07739566,2756.25,25.0,870
0.054792784,2583.9844,16.0,871
0.06891743,1119.7266,13.0,872
0.057311483,2325.586,18.0,873
0.06992361,1119.7266,18.0,874
0.064250186,2239.4531,10.0,875
0.10490537,2928.5156,200.0,876
0.077627204,2325.586,15.0,877
0.08936151,775.1953,10.0,878
0.06846997,3832.9102,39.0,879
0.071027316,2627.0508,11.0,880
0.07896095,818.2617,32.0,881
0.07119228,2454.7852,21.0,882
0.06506783,1205.8594,21.0,883
0.07868882,516.7969,6.0,884
0.07397162,2885.4492,8.0,885
0.07531654,2454.7852,15.0,886
0.078019604,1248.9258,20.0,887
0.080668606,301.46484,10.0,888
0.056402694,2325.586,19.0,889
0.062333908,473.73047,9.0,890
0.041184563,2196.3867,28.0,891
0.047683872,4995.703,32.0,892
0.056266677,1464.2578,21.0,893
0.054549027,3919.043,22.0,894
0.06318378,1205.8594,14.0,895
0.062466525,473.73047,7.0,896
0.05122417,3445.3125,13.0,897
0.035427112,2540.918,11.0,898
0.034811646,3875.9766,177.0,899
0.041431632,2799.3164,13.0,900
0.045577083,2799.3164,18.0,901
0.053197317,473.73047,6.0,902
0.08188442,2239.4531,17.0,903
0.0733897,775.1953,7.0,904
0.04946432,1421.1914,17.0,905
0.05389843,3402.246,18.0,906
0.046591032,387.59766,5.0,907
0.05937612,732.1289,21.0,908
0.07252022,3316.1133,18.0,909
0.05460549,2368.6523,36.0,910
0.06358107,344.53125,9.0,911
0.042546686,1033.5938,28.0,912
0.057609785,645.9961,12.0,913
0.054776046,1033.5938,32.0,914
0.03374626,3014.6484,8.0,915
0.04827022,1033.5938,12.0,916
0.05713352,2670.1172,18.0,917
0.059662282,3919.043,41.0,918
0.044460755,5813.965,13.0,919
0.037769213,1119.7266,44.0,920
0.05512918,1119.7266,19.0,921
0.05057455,5684.7656,28.0,922
0.059401665,387.59766,6.0,923
0.065853156,2583.9844,14.0,924
0.031848397,2583.9844,47.0,925
0.02721843,5340.2344,42.0,926
0.04128586,6201.5625,74.0,927
0.038474876,2282.5195,21.0,928
0.054712266,2196.3867,29.0,929
0.053660452,3186.914,18.0,930
0.10977627,559.8633,3.0,931
0.06785519,2282.5195,27.0,932
0.10762187,2928.5156,15.0,933
0.11554359,387.59766,4.0,934
0.09749447,387.59766,4.0,935
0.10838167,2627.0508,14.0,936
0.077392384,2627.0508,19.0,937
0.070952885,2325.586,18.0,938
0.06956087,2756.25,14.0,939
0.08310614,2670.1172,18.0,940
0.054956876,2756.25,23.0,941
0.072842345,2756.25,9.0,942
0.05588522,2713.1836,26.0,943
0.09366292,473.73047,10.0,944
0.07259485,430.66406,8.0,945
0.05929493,1119.7266,30.0,946
0.0743486,1119.7266,13.0,947
0.05854036,2842.3828,16.0,948
0.050679296,818.2617,8.0,949
0.06300849,2368.6523,34.0,950
0.062415894,2411.7188,9.0,951
0.0613299,1679.5898,28.0,952
0.06003916,301.46484,11.0,953
0.046830617,2756.25,20.0,954
0.057218324,2799.3164,23.0,955
0.103461765,430.66406,6.0,956
0.061943743,1205.8594,20.0,957
0.08423971,2454.7852,19.0,958
0.061816826,2928.5156,196.0,959
0.06616054,2411.7188,25.0,960
0.06040238,2885.4492,14.0,961
0.08038304,818.2617,5.0,962
0.08121371,2842.3828,19.0,963
0.068504676,344.53125,8.0,964
0.09827496,645.9961,14.0,965
0.08036661,602.9297,13.0,966
0.050975163,3316.1133,6.0,967
0.07028826,258.39844,6.0,968
0.085171975,2627.0508,18.0,969
0.077628985,516.7969,12.0,970
0.08366375,2497.8516,17.0,971
0.09944821,2454.7852,13.0,972
0.048581187,2196.3867,12.0,973
0.07221633,2971.582,21.0,974
0.10227225,732.1289,9.0,975
0.067676745,732.1289,13.0,976
0.06467587,2713.1836,13.0,977
0.06134064,1550.3906,17.0,978
0.06911604,2756.25,24.0,979
0.05603231,2670.1172,11.0,980
0.053764977,3875.9766,21.0,981
0.05666261,2799.3164,20.0,982
0.059006296,3273.0469,17.0,983
0.067130886,2928.5156,10.0,984
0.08470216,1335.0586,18.0,985
0.0844925,3402.246,27.0,986
0.09134369,2713.1836,10.0,987
0.0818804,947.46094,24.0,988
0.07057263,1722.6562,11.0,989
0.07479142,3186.914,34.0,990
0.06682946,2368.6523,14.0,991
0.09373952,689.0625,23.0,992
0.051318485,775.1953,6.0,993
0.063142054,3273.0469,16.0,994
0.055230543,2885.4492,12.0,995
0.0742548,2842.3828,15.0,996
0.056465205,3359.1797,15.0,997
0.072172046,2670.1172,15.0,998
0.06029903,2282.5195,7.0,999
0.10682157,2497.8516,12.0,1000
0.071360506,1722.6562,14.0,1001
0.088651046,3273.0469,17.0,1002
0.07665913,1464.2578,16.0,1003
0.06404342,1722.6562,13.0,1004
0.0752095,387.59766,9.0,1005
0.068498544,430.66406,6.0,1006
0.08891002,387.59766,2.0,1007
0.05506283,2799.3164,203.0,1008
0.06783977,387.59766,4.0,1009
0.044717427,1119.7266,22.0,1010
0.032999877,689.0625,9.0,1011
0.0589537,2799.3164,17.0,1012
0.12753858,473.73047,6.0,1013
0.07555104,2239.4531,13.0,1014
0.04814264,775.1953,10.0,1015
0.050095174,3359.1797,19.0,1016
0.08057692,732.1289,36.0,1017
0.08436694,2239.4531,11.0,1018
0.06655548,2756.25,16.0,1019
0.11577658,387.59766,13.0,1020
0.07277237,2627.0508,13.0,1021
0.06301337,129.19922,3.0,1022
0.05985992,3488.379,54.0,1023
0.048544064,1033.5938,30.0,1024
0.02846806,387.59766,8.0,1025
0.06381176,172.26562,9.0,1026
0.105921656,2842.3828,8.0,1027
0.121483035,947.46094,29.0,1028
0.07097548,2713.1836,12.0,1029
0.06485214,430.66406,8.0,1030
0.09414379,1851.8555,17.0,1031
0.13609608,1894.9219,31.0,1032
0.10746035,86.13281,7.0,1033
0.07319864,1894.9219,18.0,1034
0.09219884,1894.9219,17.0,1035
0.11415492,430.66406,10.0,1036
0.08964121,172.26562,8.0,1037
0.10399497,129.19922,4.0,1038
0.055278845,430.66406,32.0,1039
0.043642476,1851.8555,15.0,1040
0.0695623,2454.7852,17.0,1041
0.072781496,3359.1797,14.0,1042
0.066474274,2325.586,17.0,1043
0.07242056,1851.8555,24.0,1044
0.03266878,2540.918,67.0,1045
0.033092517,3746.7773,49.0,1046
0.020983273,5038.7695,32.0,1047
0.07207999,2454.7852,20.0,1048
0.06841327,1205.8594,34.0,1049
0.08298516,86.13281,3.0,1050
0.052519236,1033.5938,39.0,1051
0.035391714,1076.6602,5.0,1052
0.027472723,775.1953,9.0,1053
0.024782998,2239.4531,6.0,1054
0.21256746,516.7969,4.0,1055
0.059053145,2885.4492,13.0,1056
0.09964409,3445.3125,16.0,1057
0.083250314,129.19922,3.0,1058
0.065960065,129.19922,10.0,1059
0.11442872,1335.0586,15.0,1060
0.14800137,129.19922,4.0,1061
0.095408015,129.19922,6.0,1062
0.17268236,1119.7266,28.0,1063
0.109290846,258.39844,5.0,1064
0.15258677,129.19922,4.0,1065
0.09404072,1119.7266,13.0,1066
0.16667186,129.19922,4.0,1067
0.054220967,1421.1914,21.0,1068
0.064681776,2540.918,18.0,1069
0.082346074,559.8633,6.0,1070
0.1142068,3574.5117,71.0,1071
0.07293399,516.7969,9.0,1072
0.04305481,3229.9805,17.0,1073
0.020705178,2067.1875,46.0,1074
0.08822533,1851.8555,27.0,1075
0.1027764,3574.5117,10.0,1076
0.15089995,1335.0586,31.0,1077
0.110210076,215.33203,8.0,1078
0.095263086,2540.918,18.0,1079
0.06142897,3789.8438,7.0,1080
0.10289997,2799.3164,11.0,1081
0.0897501,3488.379,179.0,1082
0.10471363,602.9297,7.0,1083
0.13467424,1033.5938,12.0,1084
0.1568826,645.9961,10.0,1085
0.14595048,645.9961,5.0,1086
0.10209695,2799.3164,20.0,1087
0.16695328,645.9961,3.0,1088
0.20947151,1033.5938,35.0,1089
0.06939371,2411.7188,7.0,1090
0.23688918,430.66406,7.0,1091
0.10547989,86.13281,2.0,1092
0.119615056,86.13281,3.0,1093
0.1573418,86.13281,3.0,1094
0.17881604,129.19922,3.0,1095
0.15062389,1033.5938,17.0,1096
0.083897494,645.9961,7.0,1097
0.06579505,818.2617,6.0,1098
0.04688066,990.52734,42.0,1099
0.024112524,2239.4531,97.0,1100
0.01655295,2540.918,44.0,1101
0.077656165,2454.7852,8.0,1102
0.09998498,2583.9844,34.0,1103
0.10473144,1593.457,24.0,1104
0.071915165,3273.0469,15.0,1105
0.075675346,990.52734,9.0,1106
0.08362433,1722.6562,11.0,1107
0.06930365,2756.25,12.0,1108
0.07236405,2670.1172,12.0,1109
0.07042863,3445.3125,13.0,1110
0.08159988,2540.918,30.0,1111
0.081068754,2627.0508,10.0,1112
0.074425176,3617.5781,5.0,1113
0.074543886,430.66406,6.0,1114
0.07090483,3488.379,20.0,1115
0.10183599,3531.4453,179.0,1116
0.07765655,3229.9805,21.0,1117
0.08122039,2368.6523,20.0,1118
0.096217364,2928.5156,9.0,1119
0.053946145,3488.379,183.0,1120
0.013350617,2885.4492,197.0,1121
0.020958003,516.7969,28.0,1122
0.06292602,3617.5781,23.0,1123
0.05434398,1593.457,29.0,1124
0.07042127,3574.5117,18.0,1125
0.048308518,2627.0508,16.0,1126
0.026272258,861.3281,22.0,1127
0.023266522,2325.586,7.0,1128
0.057540912,3359.1797,11.0,1129
0.07906995,602.9297,8.0,1130
0.12499414,1119.7266,26.0,1131
0.10757581,1119.7266,17.0,1132
0.037763055,602.9297,2.0,1133
0.07188035,1119.7266,61.0,1134
0.021221412,645.9961,10.0,1135
NaN,NaN,NaN,1136
0.08485011,2928.5156,9.0,1137
0.11048013,1851.8555,18.0,1138
0.099607445,1851.8555,26.0,1139
0.066939406,3273.0469,14.0,1140
0.0605176,2928.5156,16.0,1141
0.061974365,3488.379,13.0,1142
0.0584946,2627.0508,18.0,1143
0.06891727,2713.1836,12.0,1144
0.14088787,129.19922,4.0,1145
0.0896821,2670.1172,13.0,1146
0.06950905,2454.7852,16.0,1147
0.033011723,3316.1133,16.0,1148
0.014280994,1033.5938,21.0,1149
0.05878971,1076.6602,15.0,1150
0.057513244,1679.5898,20.0,1151
0.08397378,2411.7188,27.0,1152
0.06117999,2497.8516,16.0,1153
0.13344078,1033.5938,37.0,1154
0.086193904,1033.5938,235.0,1155
NaN,NaN,NaN,1156
0.036891572,645.9961,10.0,1157
0.17637293,430.66406,6.0,1158
0.10141322,3229.9805,14.0,1159
0.055224188,2842.3828,19.0,1160
0.029186603,3445.3125,17.0,1161
0.022467399,3143.8477,23.0,1162
0.014043812,2411.7188,17.0,1163
0.048379563,2842.3828,21.0,1164
0.14241803,2885.4492,21.0,1165
0.11550566,1937.9883,15.0,1166
0.07948795,2497.8516,11.0,1167
0.14636557,129.19922,11.0,1168
0.23038581,129.19922,4.0,1169
0.11699873,1981.0547,15.0,1170
0.1705948,1981.0547,13.0,1171
0.11872756,1981.0547,14.0,1172
0.07956471,1937.9883,12.0,1173
0.10804587,2024.1211,11.0,1174
0.037155725,559.8633,13.0,1175
0.051057994,7149.0234,19.0,1176
0.060096018,5813.965,20.0,1177
0.0665084,2713.1836,20.0,1178
0.061541427,3574.5117,183.0,1179
0.12563507,2196.3867,14.0,1180
0.051501475,645.9961,9.0,1181
0.04369739,818.2617,13.0,1182
0.03638017,516.7969,13.0,1183
0.02047969,2411.7188,34.0,1184
0.0927616,602.9297,4.0,1185
0.10027186,215.33203,8.0,1186
0.10813914,2583.9844,11.0,1187
0.08468395,2713.1836,24.0,1188
0.09470075,129.19922,12.0,1189
0.06844998,258.39844,19.0,1190
0.10937743,904.39453,15.0,1191
0.12733315,1033.5938,8.0,1192
0.10424764,1851.8555,30.0,1193
0.10325173,387.59766,9.0,1194
0.15777141,1894.9219,17.0,1195
0.12652573,2627.0508,19.0,1196
0.0953566,1851.8555,11.0,1197
0.09850457,3746.7773,175.0,1198
0.11217715,43.066406,8.0,1199
0.09315731,387.59766,6.0,1200
0.10663258,1894.9219,12.0,1201
0.11754537,602.9297,8.0,1202
0.09814023,215.33203,8.0,1203
0.124982774,1679.5898,9.0,1204
0.10162907,645.9961,5.0,1205
0.13092087,1464.2578,30.0,1206
0.05593203,129.19922,3.0,1207
0.04726199,2627.0508,9.0,1208
0.040429577,2713.1836,35.0,1209
0.027934892,5469.4336,57.0,1210
0.03438428,818.2617,9.0,1211
0.05924101,3316.1133,11.0,1212
0.0761496,3186.914,12.0,1213
0.05263897,2540.918,19.0,1214
0.06766514,473.73047,44.0,1215
0.10604297,3057.7148,12.0,1216
0.07744749,2670.1172,11.0,1217
0.020510288,3057.7148,234.0,1218
0.04430189,3789.8438,176.0,1219
0.10412544,3703.711,179.0,1220
0.078032896,3445.3125,11.0,1221
0.08074004,3359.1797,18.0,1222
0.09178207,2497.8516,7.0,1223
0.10201509,2713.1836,20.0,1224
0.03597418,1550.3906,29.0,1225
0.053642575,2368.6523,34.0,1226
0.0711594,1507.3242,35.0,1227
0.10866369,1636.5234,21.0,1228
0.105963714,1507.3242,8.0,1229
0.08297704,1507.3242,26.0,1230
0.010554527,2713.1836,193.0,1231
0.013748648,2497.8516,221.0,1232
0.07106979,645.9961,15.0,1233
0.080002725,86.13281,2.0,1234
0.088485695,861.3281,17.0,1235
0.10762396,990.52734,44.0,1236
0.038623825,602.9297,11.0,1237
0.058825344,4521.9727,48.0,1238
0.050036784,5081.836,25.0,1239
0.043210115,3186.914,15.0,1240
0.08137929,775.1953,14.0,1241
0.095699176,1119.7266,32.0,1242
0.068797305,904.39453,9.0,1243
0.040648904,7364.3555,55.0,1244
0.032914896,8527.148,35.0,1245
0.027777076,4478.9062,74.0,1246
0.07812971,2627.0508,15.0,1247
0.07450967,3445.3125,20.0,1248
0.094769,861.3281,9.0,1249
0.13336518,1033.5938,15.0,1250
0.07114944,2670.1172,14.0,1251
0.068606466,2799.3164,47.0,1252
0.057894167,3316.1133,16.0,1253
0.07654983,602.9297,8.0,1254
0.066421136,3617.5781,11.0,1255
0.16203152,86.13281,4.0,1256
0.15139115,86.13281,4.0,1257
0.070070595,2411.7188,41.0,1258
0.13852483,645.9961,10.0,1259
0.08486571,86.13281,2.0,1260
0.06896458,2885.4492,28.0,1261
0.10555419,129.19922,3.0,1262
0.055481307,2454.7852,26.0,1263
0.0670619,3316.1133,18.0,1264
0.11203511,86.13281,3.0,1265
0.12368176,172.26562,4.0,1266
0.1619781,1033.5938,18.0,1267
0.12948519,172.26562,4.0,1268
0.10868852,172.26562,4.0,1269
0.12183806,86.13281,2.0,1270
0.12011251,3574.5117,24.0,1271
0.12359264,86.13281,4.0,1272
0.19000001,86.13281,4.0,1273
0.15933636,86.13281,3.0,1274
0.17851846,1033.5938,14.0,1275
0.15680073,1033.5938,17.0,1276
0.08562523,3531.4453,188.0,1277
0.10654988,1033.5938,19.0,1278
0.19230351,1033.5938,37.0,1279
0.09161799,3445.3125,32.0,1280
0.15195414,86.13281,3.0,1281
0.07108018,947.46094,45.0,1282
0.05624553,1119.7266,30.0,1283
0.04036492,3273.0469,188.0,1284
0.042626217,3316.1133,10.0,1285
0.057707567,2756.25,7.0,1286
0.052488927,2885.4492,15.0,1287
0.08716791,86.13281,2.0,1288
0.06476721,2713.1836,44.0,1289
0.068280034,2368.6523,16.0,1290
0.07683022,818.2617,8.0,1291
0.051847897,4478.9062,172.0,1292
0.08870797,387.59766,4.0,1293
0.059250325,473.73047,4.0,1294
0.054194644,2411.7188,38.0,1295
0.108173184,904.39453,14.0,1296
0.115786575,904.39453,6.0,1297
0.085872896,1033.5938,14.0,1298
0.067948915,2627.0508,17.0,1299
0.102432355,861.3281,10.0,1300
0.06819076,2583.9844,24.0,1301
0.072004974,2540.918,18.0,1302
0.063323475,3229.9805,191.0,1303
0.08288377,1033.5938,31.0,1304
0.093495965,645.9961,9.0,1305
0.1424072,129.19922,4.0,1306
0.10498937,3531.4453,181.0,1307
0.13811603,1033.5938,40.0,1308
0.08525245,3574.5117,12.0,1309
0.093457244,1033.5938,36.0,1310
0.09711292,818.2617,9.0,1311
0.09040242,1033.5938,21.0,1312
0.1190063,818.2617,10.0,1313
0.16985059,3531.4453,180.0,1314
0.121754415,3531.4453,189.0,1315
0.09071444,1076.6602,9.0,1316
0.07916544,990.52734,25.0,1317
0.064645596,1033.5938,16.0,1318
0.115418844,3531.4453,45.0,1319
0.1391525,3531.4453,194.0,1320
0.1286118,3531.4453,22.0,1321
0.11399087,818.2617,10.0,1322
0.06937096,818.2617,10.0,1323
0.11421683,3531.4453,14.0,1324
0.102906786,3531.4453,179.0,1325
0.15170625,86.13281,3.0,1326
0.09738288,3531.4453,13.0,1327
0.07299374,1033.5938,26.0,1328
0.10339219,3531.4453,17.0,1329
0.08323527,473.73047,8.0,1330
0.13270323,3531.4453,13.0,1331
0.087988846,3531.4453,10.0,1332
0.0765137,861.3281,24.0,1333
0.13336705,86.13281,2.0,1334
0.09070943,3703.711,175.0,1335
0.09677329,1033.5938,14.0,1336
0.07980256,559.8633,7.0,1337
0.048867974,2540.918,25.0,1338
0.08961823,818.2617,9.0,1339
0.09272544,1033.5938,10.0,1340
0.094561055,1033.5938,11.0,1341
0.1246255,1033.5938,32.0,1342
0.12542278,1033.5938,15.0,1343
0.09352842,1033.5938,18.0,1344
0.061990447,2411.7188,24.0,1345
0.11699376,86.13281,2.0,1346
0.083671406,602.9297,4.0,1347
0.14844698,86.13281,4.0,1348
0.15153559,129.19922,3.0,1349
0.116015606,86.13281,3.0,1350
0.07409015,645.9961,2.0,1351
0.15547049,1033.5938,23.0,1352
0.15327813,86.13281,4.0,1353
0.04929304,2368.6523,27.0,1354
0.09026142,1033.5938,30.0,1355
0.06280806,2583.9844,16.0,1356
0.11087028,818.2617,11.0,1357
0.05845534,2713.1836,202.0,1358
0.05601123,2713.1836,27.0,1359
0.04756439,1248.9258,22.0,1360
0.06123087,2497.8516,42.0,1361
0.038943525,3789.8438,178.0,1362
0.0630671,559.8633,13.0,1363
0.059969656,1033.5938,13.0,1364
0.047910392,2885.4492,17.0,1365
0.07106327,2799.3164,20.0,1366
0.06098078,473.73047,8.0,1367
0.045095533,473.73047,7.0,1368
0.063446976,559.8633,5.0,1369
0.061519917,559.8633,8.0,1370
0.055529993,1808.7891,31.0,1371
0.07525643,2282.5195,30.0,1372
0.049890317,4478.9062,56.0,1373
0.07740436,2497.8516,12.0,1374
0.04579077,2756.25,15.0,1375
0.05893203,2713.1836,19.0,1376
0.06172292,2713.1836,30.0,1377
0.07361455,2497.8516,22.0,1378
0.054952636,2454.7852,23.0,1379
0.05268778,473.73047,28.0,1380
0.053333968,3316.1133,19.0,1381
0.055456556,559.8633,10.0,1382
0.06797057,344.53125,12.0,1383
0.066390775,602.9297,10.0,1384
0.052051414,1636.5234,11.0,1385
0.07714284,2928.5156,14.0,1386
0.057495803,2368.6523,20.0,1387
0.0772089,3316.1133,12.0,1388
0.0669675,3789.8438,22.0,1389
0.07841985,2454.7852,33.0,1390
0.080708966,3014.6484,11.0,1391
0.05531735,3531.4453,24.0,1392
0.05744887,3531.4453,12.0,1393
0.0710127,2368.6523,21.0,1394
0.056846485,473.73047,31.0,1395
0.04024344,2067.1875,23.0,1396
0.057321355,2842.3828,12.0,1397
0.097181894,2670.1172,14.0,1398
0.069149934,2627.0508,10.0,1399
0.051917393,2411.7188,28.0,1400
0.07375851,2713.1836,16.0,1401
0.08521011,3014.6484,15.0,1402
0.069682695,2497.8516,24.0,1403
0.062027022,645.9961,17.0,1404
0.044794124,1291.9922,20.0,1405
0.05105332,1679.5898,14.0,1406
0.06222281,2799.3164,17.0,1407
0.043215103,2583.9844,11.0,1408
0.068261154,2454.7852,17.0,1409
0.081499964,2583.9844,17.0,1410
0.072390534,3316.1133,20.0,1411
0.06522631,1550.3906,32.0,1412
0.050986495,2799.3164,16.0,1413
0.06633135,3186.914,9.0,1414
0.053194366,430.66406,13.0,1415
0.053390775,3100.7812,13.0,1416
0.054651204,2196.3867,10.0,1417
0.06688543,2713.1836,16.0,1418
0.04350617,516.7969,9.0,1419
0.065465115,3100.7812,12.0,1420
0.05159351,3402.246,17.0,1421
0.04685412,3359.1797,194.0,1422
0.04853646,2368.6523,15.0,1423
0.064302206,2497.8516,17.0,1424
0.08018969,2497.8516,20.0,1425
0.0495919,2454.7852,21.0,1426
0.047112122,1119.7266,23.0,1427
0.07826301,2497.8516,19.0,1428
0.058290686,1335.0586,32.0,1429
0.04840039,3014.6484,38.0,1430
0.0608357,602.9297,17.0,1431
0.049753685,990.52734,17.0,1432
0.050968062,1636.5234,16.0,1433
0.067018166,2497.8516,20.0,1434
0.055124138,2583.9844,9.0,1435
0.06328943,473.73047,7.0,1436
0.059804212,2756.25,9.0,1437
0.09093934,2497.8516,39.0,1438
0.08168815,2583.9844,23.0,1439
0.066740185,2928.5156,17.0,1440
0.08275081,559.8633,5.0,1441
0.0925584,732.1289,4.0,1442
0.10525036,2454.7852,14.0,1443
0.1087735,732.1289,40.0,1444
0.058328718,861.3281,15.0,1445
0.049977586,559.8633,6.0,1446
0.053477082,2454.7852,36.0,1447
0.06753231,2799.3164,21.0,1448
0.048630133,2627.0508,6.0,1449
0.047097504,2411.7188,10.0,1450
0.03865401,559.8633,21.0,1451
0.07390506,2411.7188,24.0,1452
0.05558197,1291.9922,19.0,1453
0.051403772,2411.7188,27.0,1454
0.09024,430.66406,5.0,1455
0.067712024,1119.7266,34.0,1456
0.09943376,732.1289,20.0,1457
0.07581959,904.39453,19.0,1458
0.086063385,387.59766,3.0,1459
0.089775845,947.46094,8.0,1460
0.07068664,3359.1797,27.0,1461
0.040649854,3660.6445,186.0,1462
0.054285552,2971.582,15.0,1463
0.052451685,2842.3828,17.0,1464
0.05710955,2411.7188,16.0,1465
0.0629592,2411.7188,24.0,1466
0.08636533,645.9961,6.0,1467
0.10436238,2713.1836,11.0,1468
0.08010731,2497.8516,13.0,1469
0.07055024,3660.6445,11.0,1470
0.074845396,1851.8555,14.0,1471
0.06582423,387.59766,10.0,1472
0.068597876,3186.914,20.0,1473
0.06490923,2110.254,11.0,1474
0.078726515,3531.4453,16.0,1475
0.064370036,215.33203,12.0,1476
0.06665927,602.9297,6.0,1477
0.08597684,818.2617,9.0,1478
0.057980835,3617.5781,28.0,1479
0.04585758,2110.254,12.0,1480
0.047702514,3574.5117,23.0,1481
0.0558268,3359.1797,20.0,1482
0.05282393,3143.8477,4.0,1483
0.047362234,2799.3164,5.0,1484
0.039287545,2713.1836,14.0,1485
0.03232502,2842.3828,28.0,1486
0.03974293,1851.8555,26.0,1487
0.08964926,2799.3164,21.0,1488
0.13693053,3359.1797,17.0,1489
