@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.059725814,1679.5898,31.0,170
0.06277754,2756.25,18.0,171
0.061255336,3875.9766,12.0,172
0.056718115,3875.9766,11.0,173
0.05235598,2067.1875,11.0,174
0.06757425,1076.6602,25.0,175
0.083243124,430.66406,24.0,176
0.081161864,2756.25,25.0,177
0.06405947,3875.9766,178.0,178
0.052374583,1636.5234,24.0,179
0.07211997,1119.7266,19.0,180
0.060746808,1119.7266,25.0,181
0.061631832,1119.7266,22.0,182
0.054099455,430.66406,11.0,183
0.063340366,1119.7266,19.0,184
0.07273766,430.66406,26.0,185
0.08510083,430.66406,19.0,186
0.07875783,559.8633,26.0,187
0.053449687,1119.7266,16.0,188
0.06120551,2756.25,9.0,189
0.060236614,2756.25,10.0,190
0.07086223,2756.25,19.0,191
0.069993526,2756.25,18.0,192
0.07728217,2756.25,26.0,193
0.075311996,2756.25,12.0,194
0.071462385,1636.5234,27.0,195
0.07379558,1033.5938,22.0,196
0.056282815,3875.9766,19.0,197
0.060861286,1033.5938,19.0,198
0.053958066,1076.6602,15.0,199
0.060693923,2067.1875,13.0,200
0.047835965,1076.6602,13.0,201
0.054416843,2196.3867,10.0,202
0.041614056,2067.1875,33.0,203
0.061260633,2971.582,15.0,204
0.09022189,430.66406,11.0,205
0.06565241,430.66406,11.0,206
0.06273616,2756.25,11.0,207
0.039852094,1894.9219,13.0,208
0.05311769,215.33203,7.0,209
0.063951045,3875.9766,21.0,210
0.05961975,3875.9766,21.0,211
0.044254676,3316.1133,22.0,212
0.040076375,2756.25,10.0,213
0.04654588,2067.1875,19.0,214
0.049306028,2067.1875,10.0,215
0.0562037,3316.1133,22.0,216
0.06744009,2756.25,19.0,217
0.08191099,2756.25,10.0,218
