@RELATION ClassificationSet

@ATTRIBUTE 'Mean_1(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Mean_1(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC

@DATA
308.37012203703705,770.9071400776905,149.59815283796297,691.0879129905045,11.200044465740737,21.86019420339819,6.0986104231481475,11.649484665715104
309.84593580645173,772.5859268280811,147.92419242857142,666.7821694401705,10.590447604147466,21.99973071075348,5.796706227188942,12.136856362758115
309.61031745370383,640.058403284,146.61133467592592,458.77615554613243,8.779345235185183,7.756506662834086,4.801155436111112,3.492471008961765
303.5189580555558,539.5286373351202,151.27242886111105,460.98311451761145,7.592399277777779,5.117395175614795,5.113030215740742,2.6551050692612854
293.79889529953925,629.6940582402675,153.86775082488475,666.1129767163858,8.530460531797234,26.683430362810373,8.617112477419354,48.1662184697016
294.51423370370384,830.420056979307,163.21134848148137,833.8241758073957,12.477196079166665,68.28394863659562,15.530445533333323,132.8134285639104
292.9313850462965,1362.5860496605787,162.27100724537038,1005.3884020180245,11.72340178657408,63.475094667420215,14.25129067592593,131.98378711820072
292.9815295852536,1764.5040865206008,160.71763707834086,1117.9987685256635,11.400460896313358,94.23379622140682,13.909149439170514,167.54319930728118
280.00042958333347,1499.4816317486416,147.9849796666667,1104.5478975045523,11.402438472222226,90.75876530422393,13.692984762037035,176.37100438373946
262.67570409090916,638.3508151009826,131.6780647818182,564.3799759158867,8.643372972727269,18.616100866433,9.294718349999998,56.50511546464062
308.58959483720935,573.9653269675961,153.64021449302325,480.18210071067483,15.421457415813968,21.636580136139,7.495865330232557,18.462808208860714
298.00831888888905,611.7982322005311,147.5896429953703,536.8429751939115,16.730407977777773,25.351158386327395,6.457421716666669,8.16887763225998
294.7329254166669,656.4880802371313,149.31299804166667,585.9558664286893,18.88893118148148,22.569628483593714,7.775276749537036,10.964401865728105
317.17759216589866,1667.5215309199025,168.03943713364063,979.9546709945226,18.857657945622122,66.14497640799954,11.359966619354845,42.34131428151081
325.1413034259261,1503.42211309687,176.59894281944446,849.6044725987907,18.33007937129629,90.57684672896096,14.011487207870369,50.90091821612819
321.6492838425928,1195.4562903675308,177.657894375,1050.825307836664,18.36907566898148,77.80715746255116,13.314619730555556,30.25067016658267
